arm,n_train,drop_pct,solo_bss,dbss
C0_baseline,1221585,0.0,742.2763826903323,40.47131266302631
S0.3_drop,1217168,0.36157942345395044,738.7264741632538,39.94304739383119
S0.3_w0.25,1221585,0.0,744.4527230699771,40.740610460277026
S0.3_w0.5,1221585,0.0,739.6022008045788,39.5622816718344
S0.3_w0.75,1221585,0.0,745.6272547802012,41.39703932433122
S0.4_drop,1210201,0.931904042698628,739.6170681614356,40.539378659998306
S0.4_w0.25,1221585,0.0,743.7041208813389,40.65534404527057
S0.4_w0.5,1221585,0.0,745.3082041936176,41.33174943755648
S0.4_w0.75,1221585,0.0,742.0725694917918,40.24877282394755
S0.5_drop,1197911,1.937974025548772,739.510638779306,39.93407550301197
S0.5_w0.25,1221585,0.0,742.5599645715431,40.235701401825054
S0.5_w0.5,1221585,0.0,749.5389013194908,42.440501635621104
S0.5_w0.75,1221585,0.0,747.9447732911871,41.339464518330715
S0.6_drop,1173383,3.9458572264721603,733.3951748065504,38.984712758261026
S0.6_w0.25,1221585,0.0,742.5894913059672,41.10097645844132
S0.6_w0.5,1221585,0.0,745.1596474070233,41.108021778213356
S0.6_w0.75,1221585,0.0,745.9835313979756,41.80837984718573
S0.7_drop,1137270,6.902098503174159,734.1393582891653,38.48522850981033
S0.7_w0.25,1221585,0.0,737.0535441224235,39.284633927572145
S0.7_w0.5,1221585,0.0,741.7894356032795,41.15985696228063
S0.7_w0.75,1221585,0.0,741.3810874929317,40.14966367185127
A5_drop,1218491,0.2532775042260682,739.9463187155897,40.55645062946974
A5_w05,1221585,0.0,744.8957108669108,41.3358863159408
A10_drop,1188919,2.6740668885095964,742.043722848884,40.47859043635469
A10_w05,1221585,0.0,743.5424772183841,39.82921896644734
A15_drop,1100937,9.876349169316912,744.5007129254,41.0622292943641
A15_w05,1221585,0.0,751.1735295919086,42.08550241580065
A20_drop,987290,19.17959045011195,735.9229584966042,37.511955908609025
A20_w05,1221585,0.0,743.5490492301855,40.281274290543365
V50_drop,1187833,2.7629677836581212,741.2964240155695,42.12709639844775
V50_w05,1221585,0.0,744.87810556505,41.97938725050142
V100_drop,1157941,5.209952643491855,721.9313518368687,40.13050779666514
V100_w05,1221585,0.0,735.4951121091747,40.37929097160384
V200_drop,1103562,9.66146440894412,703.3500931312831,39.562588330033236
V200_w05,1221585,0.0,731.3828182844984,40.7435605655038
V500_drop,967719,20.781689362590406,652.7455941892413,33.14550366838591
V500_w05,1221585,0.0,723.9950943948915,38.73485480836439
L1.5_w05,1221585,0.0,739.4090059490987,40.20746807059663
L2.0_w05,1221585,0.0,745.8114276235661,41.56986712468006
R_firstseason_drop,1157096,5.279125071116619,740.3421044670622,43.804290635807206
R_firstseason_w05,1221585,0.0,739.9862325521589,41.30864968735489
X_S5w05_V100drop,1157941,5.209952643491855,720.3031879195132,39.134647264649175
X_S5drop_V100w05,1197911,1.937974025548772,736.3669020857943,40.561059232469006
X_S5w05_A10w05,1221585,0.0,745.4868060328246,40.6138375482534
X_S5w05_V100w05,1221585,0.0,738.2289904486195,41.398834486194914
