fold,arm,n_features,solo_bss,corr,dbss,t_row
2023,P0,111,-1130.1682044313034,0.8889401083490381,46.93504812793847,3.125818085457784
2023,P1,127,-1109.1309354358536,0.8905409109317046,46.6329697046186,3.1394423896289476
2023,P2,158,-1111.947972681815,0.8875920571950362,39.5706144531882,2.679813819070318
2023,P3,158,-1124.4372651380895,0.8871580129618075,39.44619902014334,2.6587250914554543
2023,P4,170,-1147.49491671311,0.8873702239417012,33.62883539386185,2.2635665752643264
2024,P0,111,743.9118948524781,0.8213121739221918,40.936651657630364,5.609012862353841
2024,P1,127,744.6766746204813,0.8203755462425385,40.82559310443219,5.60823315341474
2024,P2,158,741.9683403632082,0.8196833801715206,38.3897330333283,5.323930171340457
2024,P3,158,741.3376895791024,0.8193832134457318,38.50599380111896,5.3407070114348105
2024,P4,170,747.173226180442,0.8195010749817806,41.125022042687306,5.708941935279022
