combo,n_features,bss_raw,bss_centered,offset,src,d_centered,d_per_100feat
id_frequency+temporal_cyclic+trackman_quality,295,786.548487104255,828.5644841706685,0.01024494368056067,fit 41s,16.52110937427892,5.6003760590776
count_multiscale+id_frequency+temporal_cyclic+trackman_quality,313,784.2120183114365,827.5915107600284,0.010409849995482223,fit 43s,15.548135963638856,4.967455579437335
context_robust+id_frequency+temporal_cyclic+trackman_quality,305,785.7401853759827,827.5132679113617,0.010215285296710064,fit 42s,15.469893114972137,5.072096103269554
id_frequency+rate_geometry+temporal_cyclic+trackman_quality,313,785.7364607135709,826.9478519228657,0.010146374222034349,fit 42s,14.904477126476081,4.7618137784268635
id_frequency+rate_geometry+trackman_quality,305,799.700337800513,826.3767042366088,0.008163296586819191,fit 41s,14.333329440219245,4.69945227548172
id_frequency+ordinal_numeric+temporal_cyclic+trackman_quality,295,783.1280364837379,825.259212508056,0.010258976363792027,fit 35s,13.215837711666381,4.4799449870055525
id_frequency+temporal_cyclic,284,783.0928196067455,824.9783303170722,0.01022902278137372,fit 42s,12.934955520682593,4.5545618030572514
context_robust+id_frequency,286,796.8713229542512,824.9130098246571,0.00836959235457474,fit 41s,12.869635028267567,4.499872387506143
id_frequency+trackman_quality,287,797.1859811939153,824.8957179127103,0.00831990635221258,fit 41s,12.852343116320753,4.478168333212806
count_multiscale+id_frequency+rate_geometry+trackman_quality,323,797.5850817997232,824.8520074361054,0.008253161149113508,fit 43s,12.808632639715825,3.9655209410884904
context_robust+id_frequency+temporal_cyclic,294,782.5540194277058,824.7416297605503,0.010265844964960968,fit 41s,12.698254964160697,4.3191343415512575
count_multiscale+id_frequency,294,796.4034355298688,824.5842081221921,0.00839032311350979,fit 42s,12.54083332580251,4.265589566599493
context_robust+id_frequency+rate_geometry+trackman_quality,315,796.9348763718132,824.3652040483829,0.008277853500043342,fit 42s,12.321829251993336,3.9116918260296303
id_frequency+rate_geometry+rate_multiscale+trackman_quality,365,800.2668525936451,824.1132000326057,0.007718149239358263,fit 44s,12.069825236216161,3.30680143457977
id_frequency+rate_geometry,294,795.7665645992762,823.7439283142911,0.008359987588751505,fit 42s,11.70055351790154,3.9797801081297757
id_frequency+ordinal_numeric+temporal_cyclic,284,781.0598847612371,823.4284261089186,0.010287835100369291,fit 35s,11.385051312529072,4.0088208846933355
context_robust+id_frequency+ordinal_numeric+temporal_cyclic,294,781.3554517877908,823.4125770781309,0.010249956691130435,fit 36s,11.369202281741309,3.867075606034459
count_multiscale+id_frequency+trackman_quality,305,795.4911538660681,823.349733728096,0.008342221658007798,fit 43s,11.306358931706427,3.707002928428337
id_frequency+rate_multiscale+temporal_cyclic,344,785.9953969611478,823.1694742780182,0.009636566820988901,fit 43s,11.126099481628671,3.2343312446594976
context_robust+id_frequency+trackman_quality,297,795.4951102433383,823.1239201184181,0.00830774824175634,fit 42s,11.08054532202857,3.73082334075036
context_robust+count_multiscale+id_frequency,304,794.6009382485353,823.1005916955359,0.008437660126616342,fit 42s,11.057216899146283,3.6372424010349613
context_robust+id_frequency+rate_geometry,304,794.8390322831789,822.7549692999214,0.00835080501130786,fit 42s,10.711594503531842,3.523550823530211
context_robust+id_frequency+rate_multiscale+temporal_cyclic,354,785.8915057432081,822.6899587229552,0.009587757009997033,fit 43s,10.646583926565654,3.0075095837756085
id_frequency+no_trackman+temporal_cyclic,186,784.3293180231137,822.4909948927217,0.009763734540985614,fit 36s,10.447620096332116,5.61700005179146
context_robust+id_frequency+no_trackman+temporal_cyclic,196,784.1159970656153,822.4896197814525,0.009790810364403435,fit 36s,10.44624498506289,5.329716829113719
component_shape+id_frequency+temporal_cyclic,296,780.7786002413164,822.2489144926626,0.0101781981483835,fit 41s,10.205539696273036,3.4478174649571067
id_frequency+rate_multiscale+temporal_cyclic+trackman_quality,355,785.4608327815149,822.2224903935315,0.00958296233455097,fit 43s,10.179115597141958,2.8673565062371718
component_shape+context_robust+id_frequency+temporal_cyclic,306,780.6427229293478,822.1277563438156,0.010180004274886356,fit 41s,10.084381547426005,3.295549525302616
