arm,n_atoms,offset,bss_raw,bss_centered,source,mean_gain,d_centered,d_raw
id_frequency+temporal_cyclic+trackman_quality,3,0.01024494368056067,786.548487104255,828.5644841706685,prep_beam,-42.01599706641355,16.52110937427892,10.5231412398266
count_multiscale+id_frequency+temporal_cyclic+trackman_quality,4,0.010409849995482223,784.2120183114365,827.5915107600284,prep_beam,-43.37949244859192,15.548135963638856,8.186672447008164
context_robust+id_frequency+temporal_cyclic+trackman_quality,4,0.010215285296710064,785.7401853759827,827.5132679113617,prep_beam,-41.77308253537899,15.469893114972137,9.714839511554374
id_frequency+rate_geometry+temporal_cyclic+trackman_quality,4,0.010146374222034349,785.7364607135709,826.9478519228657,prep_beam,-41.21139120929479,14.904477126476081,9.711114849142518
id_frequency+rate_geometry+trackman_quality,3,0.008163296586819191,799.700337800513,826.3767042366088,prep_beam,-26.676366436095805,14.333329440219245,23.674991936084666
id_frequency+ordinal_numeric+temporal_cyclic+trackman_quality,4,0.010258976363792027,783.1280364837379,825.259212508056,prep_beam,-42.13117602431805,13.215837711666381,7.102690619309556
id_frequency+temporal_cyclic,2,0.01022902278137372,783.0928196067455,824.9783303170722,prep_beam,-41.885510710326685,12.934955520682593,7.067473742317134
context_robust+id_frequency,2,0.00836959235457474,796.8713229542512,824.9130098246571,prep_beam,-28.041686870405897,12.869635028267567,20.845977089822895
id_frequency+trackman_quality,2,0.00831990635221258,797.1859811939153,824.8957179127103,prep_beam,-27.709736718795057,12.852343116320753,21.160635329486922
count_multiscale+id_frequency+rate_geometry+trackman_quality,4,0.008253161149113508,797.5850817997232,824.8520074361054,prep_beam,-27.26692563638221,12.808632639715825,21.55973593529484
context_robust+id_frequency+temporal_cyclic,3,0.010265844964960968,782.5540194277058,824.7416297605503,prep_beam,-42.18761033284443,12.698254964160697,6.5286735632774935
count_multiscale+id_frequency,2,0.00839032311350979,796.4034355298688,824.5842081221921,prep_beam,-28.18077259232325,12.54083332580251,20.378089665440484
id_frequency+pitcher_reactivity+temporal_cyclic+trackman_quality,4,0.009591286655432907,787.6634846564646,824.4890366541857,outputs,-36.82555199772116,12.445661857796154,11.638138792036216
context_robust+id_frequency+rate_geometry+trackman_quality,4,0.008277853500043342,796.9348763718132,824.3652040483829,prep_beam,-27.430327676569732,12.321829251993336,20.90953050738483
id_frequency+rate_geometry+rate_multiscale+trackman_quality,4,0.007718149239358263,800.2668525936451,824.1132000326057,prep_beam,-23.846347438960606,12.069825236216161,24.24150672921678
id_frequency+rate_geometry,2,0.008359987588751505,795.7665645992762,823.7439283142911,prep_beam,-27.977363715014917,11.70055351790154,19.74121873484785
id_frequency+ordinal_numeric+temporal_cyclic,3,0.010287835100369291,781.0598847612371,823.4284261089186,prep_beam,-42.36854134768157,11.385051312529072,5.034538896808726
context_robust+id_frequency+ordinal_numeric+temporal_cyclic,4,0.010249956691130435,781.3554517877908,823.4125770781309,prep_beam,-42.05712529034008,11.369202281741309,5.330105923362453
count_multiscale+id_frequency+trackman_quality,3,0.008342221658007798,795.4911538660681,823.349733728096,prep_beam,-27.85857986202791,11.306358931706427,19.465808001639743
id_frequency+rate_multiscale+temporal_cyclic,3,0.009636566820988901,785.9953969611478,823.1694742780182,prep_beam,-37.174077316870466,11.126099481628671,9.97005109671943
context_robust+id_frequency+trackman_quality,3,0.00830774824175634,795.4951102433383,823.1239201184181,prep_beam,-27.62880987507981,11.08054532202857,19.469764378909986
context_robust+count_multiscale+id_frequency,3,0.008437660126616342,794.6009382485353,823.1005916955359,prep_beam,-28.499653447000583,11.057216899146283,18.575592384106926
context_robust+id_frequency+rate_geometry,3,0.00835080501130786,794.8390322831789,822.7549692999214,prep_beam,-27.915937016742532,10.711594503531842,18.813686418750535
context_robust+id_frequency+rate_multiscale+temporal_cyclic,4,0.009587757009997033,785.8915057432081,822.6899587229552,prep_beam,-36.79845297974714,10.646583926565654,9.86615987877974
id_frequency+no_trackman+temporal_cyclic,3,0.009763734540985614,784.3293180231137,822.4909948927217,prep_beam,-38.16167686960796,10.447620096332116,8.303972158685383
context_robust+id_frequency+no_trackman+temporal_cyclic,4,0.009790810364403435,784.1159970656153,822.4896197814525,prep_beam,-38.3736227158372,10.44624498506289,8.090651201186915
component_shape+id_frequency+temporal_cyclic,3,0.0101781981483835,780.7786002413164,822.2489144926626,prep_beam,-41.47031425134617,10.205539696273036,4.753254376888094
id_frequency+rate_multiscale+temporal_cyclic+trackman_quality,4,0.00958296233455097,785.4608327815149,822.2224903935315,prep_beam,-36.76165761201662,10.179115597141958,9.435486917086564
component_shape+context_robust+id_frequency+temporal_cyclic,4,0.010180004274886356,780.6427229293478,822.1277563438156,prep_beam,-41.48503341446781,10.084381547426005,4.617377064919424
component_shape+id_frequency+rate_geometry+trackman_quality,4,0.008200623882983815,795.0814843686871,822.002368006014,prep_beam,-26.920883637326824,9.958993209624396,19.056138504258797
id_frequency+recent_shape+trackman_quality,3,0.008215702828823612,794.8675635703784,821.8875400969772,prep_beam,-27.01997652659884,9.844165300587633,18.84221770595002
component_shape+id_frequency+temporal_cyclic+trackman_quality,4,0.00982741667019027,783.1751909414986,821.836296005074,prep_beam,-38.661105063575405,9.792921208684447,7.1498450770702675
context_robust+count_multiscale+id_frequency+temporal_cyclic,4,0.010230415917485691,779.8467097283823,821.7436303636694,prep_beam,-41.896920635287074,9.700255567279783,3.821363863953934
count_multiscale+id_frequency+temporal_cyclic,3,0.010168245976527046,780.1927327354741,821.5819878620633,prep_beam,-41.389255126589205,9.538613065673758,4.167386871045778
context_robust+id_frequency+temporal_cyclic+trackman_compact,4,0.009716133638640267,783.6434338367892,821.4339203174825,prep_beam,-37.79048648069329,9.390545521092918,7.618087972360854
id_frequency+temporal_cyclic+trackman_compact,3,0.009701733032810023,783.7136950248125,821.3922434389675,prep_beam,-37.67854841415499,9.34886864257794,7.688349160384178
context_robust+id_frequency+rate_geometry+temporal_cyclic,4,0.010185902420420556,779.1889243566663,820.7220433399498,prep_beam,-41.53311898328343,8.678668543560207,3.1635784922380026
component_compact+context_robust+id_frequency+temporal_cyclic,4,0.010081904174568668,779.5939730671387,820.2833138731825,prep_beam,-40.68934080604379,8.239939076792894,3.5686272027103314
id_frequency,1,0.00833408256892898,792.1759266044659,819.9801725345179,preprocess_screen,-27.804245930052048,7.936797738128348,16.150580740037526
component_compact+id_frequency+temporal_cyclic+trackman_quality,4,0.009796398205372037,781.5316447604914,819.9490813961207,prep_beam,-38.417436635629315,7.905706599731161,5.506298896063072
component_shape+id_frequency+trackman_quality,3,0.00819344629200286,793.0656075054387,819.9393867923011,prep_beam,-26.873779286862373,7.896011995911522,17.040261641010375
component_compact+id_frequency+temporal_cyclic,3,0.010043436980826492,779.4305150659153,819.8099503751721,prep_beam,-40.37943530925679,7.766575578782522,3.405169201486956
id_frequency+recent_shape+temporal_cyclic+trackman_quality,4,0.010090468245807394,779.0243020107113,819.7827992795781,prep_beam,-40.75849726886679,7.739424483188486,2.9989561462829215
rate_multiscale+temporal_cyclic,2,0.01003152255574008,779.3527637900644,819.6364525143051,prep_beam,-40.28368872424073,7.593077717915548,3.327417925636041
id_frequency+trackman_compact+trackman_quality,3,0.007708779891832385,795.5176204101911,819.3061070595364,prep_beam,-23.788486649345373,7.262732263146859,19.49227454576271
id_frequency+rate_geometry+recent_shape+trackman_quality,4,0.008432719157007496,790.4062027836667,818.8724880481279,prep_beam,-28.46628526446125,6.829113251738363,14.38085691923834
component_shape+context_robust+id_frequency,3,0.008378238969242613,790.6685365013377,818.7681929588298,prep_beam,-28.099656457492074,6.724818162440215,14.643190636909367
component_shape+id_frequency,2,0.008366994084922696,790.5204560419766,818.5447350025021,prep_beam,-28.02427896052552,6.501360206112508,14.495110177548213
id_frequency+temporal_cyclic+trackman_compact+trackman_quality,4,0.009902406834727207,779.0735479240252,818.3269274814054,prep_beam,-39.253379557380185,6.28355268501582,3.0482020595968606
temporal_cyclic+trackman_quality,2,0.011241206869784248,767.56692721478,818.1518863789927,prep_beam,-50.584959164212705,6.108511582603114,-8.458418649648365
id_frequency+recent_shape,2,0.008424299932357882,789.5087178707682,817.9181900465959,prep_beam,-28.40947217582766,5.874815250206325,13.483372006339891
component_compact+id_frequency+trackman_quality,3,0.008061108880059564,791.8466763845222,817.8593563449188,prep_beam,-26.012679960396554,5.81598154852918,15.821330520093852
id_frequency+pitcher_reactivity,2,0.007923470041101277,792.4700065346846,817.6019667678447,outputs,-25.131960233160157,5.558591971455144,16.444660670256212
id_frequency+rate_geometry+trackman_compact+trackman_quality,4,0.007857702638956465,792.6645383559472,817.3810230282407,prep_beam,-24.716484672293518,5.337648231851176,16.639192491518884
context_robust+id_frequency+recent_shape,3,0.008437531450919522,788.8007303357148,817.2995145406037,prep_beam,-28.49878420488892,5.256139744214124,12.77538447128643
component_compact+id_frequency+rate_geometry+trackman_quality,4,0.008040043480773695,791.2452793972791,817.1221836176801,prep_beam,-25.876904220401002,5.078808821290522,15.219933532850746
context_robust+id_frequency+rate_multiscale,3,0.007958593388667057,791.6270742436282,816.9823394272191,prep_beam,-25.355265183590973,4.93896463082956,15.601728379199812
temporal_cyclic,1,0.012031724593110305,758.8473770386406,816.7970898684263,preprocess_screen,-57.94971282978565,4.753715072036698,-17.17796882578773
id_frequency+rate_geometry+temporal_cyclic,3,0.010198696522531303,774.8981942418354,816.5357149099273,prep_beam,-41.63752066809184,4.4923401135376935,-1.127151622592919
id_frequency+rate_multiscale+trackman_quality,3,0.008001553064974465,790.5949045106775,816.2246387549699,prep_beam,-25.629734244292422,4.181263958580303,14.569558646249106
rate_geometry+temporal_cyclic,2,0.01093392343710059,767.6886204547206,815.5458529504278,prep_beam,-47.857232495707194,3.502478154038272,-8.336725409707697
rate_geometry+recent_shape,2,0.009040815064678298,782.7537530699202,815.4735571582195,prep_beam,-32.71980408829927,3.4301823618299068,6.728407205491862
all_additive,1,0.01098114967428604,767.044768920111,815.3163079581471,preprocess_screen,-48.27153903803617,3.272933161757578,-8.980576944317363
component_compact+context_robust+id_frequency,3,0.008277825264913496,787.7447150826833,815.174855634071,prep_beam,-27.430140551387694,3.1314808376814653,11.719369218254997
count_multiscale+rate_geometry,2,0.009186760580097209,781.2903933695382,815.0751130535206,prep_beam,-33.784719683982416,3.0317382571309963,5.265047505109806
ordinal_numeric+temporal_cyclic,2,0.010804386430606383,768.2402757698381,814.9702714739249,prep_beam,-46.72999570408672,2.9268966775352965,-7.785070094590196
context_robust+id_frequency+ordinal_numeric,3,0.007971041652529043,789.5332897043584,814.9679347125516,prep_beam,-25.43464500819323,2.924559916162025,13.507943839930022
context_robust+rate_geometry,2,0.0092195525953771,780.8936503608921,814.9199886864022,prep_beam,-34.026338325510096,2.8766138900126634,4.868304496463793
all_compact,1,0.009826748042504496,776.1700737368593,814.825918210238,preprocess_screen,-38.65584447337869,2.7825434138484297,0.14472787243096263
count_multiscale+temporal_cyclic,2,0.010893226762597186,767.230597429136,814.7322383331601,prep_beam,-47.50164090402416,2.6888635367705547,-8.794748435292377
rate_geometry+trackman_quality,2,0.00896715234475387,782.287015800498,814.4758034446476,prep_beam,-32.188787644149556,2.4324286482579964,6.261669936069666
id_frequency+ordinal_numeric+rate_geometry+trackman_quality,4,0.008013346071993332,788.6125701537571,814.3179083135443,prep_beam,-25.705338159787175,2.2745335171547367,12.587224289328788
context_robust+id_frequency+no_trackman,3,0.007966975114083008,788.7484914574916,814.1571914052959,prep_beam,-25.40869994780428,2.1138166089062906,12.723145593063236
id_frequency+ordinal_numeric,2,0.007965659818882309,788.7016799634661,814.1019909852498,prep_beam,-25.40031102178375,2.058616188860242,12.676334099037717
component_compact+id_frequency,2,0.008270003237288714,786.6419626734067,814.0202881796954,prep_beam,-27.37832550628866,1.9769133833058277,10.616616808978392
id_frequency+rate_multiscale,2,0.007878126933891672,789.129558361823,813.9746996845054,prep_beam,-24.845141322682366,1.931324888115796,13.104212497394656
id_frequency+recent_shape+temporal_cyclic,3,0.010329096335677523,771.0399009135726,813.7489772778395,prep_beam,-42.70907636426682,1.705602481449887,-4.985444950855708
rate_geometry,1,0.009301833530428016,779.0786137357841,813.7150059892351,preprocess_screen,-34.63639225345105,1.6716311928455525,3.053267871355729
id_frequency+trackman_compact,2,0.00771445139495458,789.8413063311849,813.6648091850996,prep_beam,-23.823502853914647,1.6214343887099858,13.815960466756565
no_trackman+temporal_cyclic,2,0.010492882502236955,769.4901827414502,813.5644542739074,prep_beam,-44.074271532457146,1.5210794775177874,-6.535163122978133
id_frequency+no_trackman,2,0.00794504536585644,788.2790602640077,813.5480736917167,prep_beam,-25.269013427708956,1.5046988953271239,12.253714399579394
count_multiscale,1,0.009491014343281978,777.1617105060913,813.2213003797295,preprocess_screen,-36.05958987363829,1.1779255833399702,1.136364641662908
context_robust,1,0.009510592815403673,776.6003020141854,812.8088158751879,preprocess_screen,-36.208513861002416,0.7654410787982897,0.5749561497570994
rate_multiscale,1,0.009095355496421764,779.6723740013279,812.788145721699,preprocess_screen,-33.115771720371185,0.7447709253094672,3.6470281368995074
context_robust+id_frequency+trackman_compact,3,0.007812857658574479,787.833527677706,812.2686967042658,prep_beam,-24.435169026559834,0.22532190787626405,11.808181813277656
temporal_cyclic+trackman_compact,2,0.010264075313981491,769.889907342236,812.0629741257934,prep_beam,-42.173066783557374,0.01959932940383169,-6.135438522192317
baseline,0,0.009485543271382124,776.0253458644283,812.0433747963896,preprocess_screen,-36.018028931961226,0.0,0.0
rate_geometry+rate_multiscale,2,0.008669227431305215,781.9564025804859,812.0418390539342,prep_beam,-30.085436473448226,-0.0015357424554167665,5.931056716057583
context_robust+id_frequency+recent_shape+temporal_cyclic,4,0.01026058408391245,769.7691275559082,811.9135096632757,prep_beam,-42.144382107367505,-0.12986513311386716,-6.256218308520147
context_robust+temporal_cyclic,2,0.010600047032021831,766.1642055743379,811.1433414773384,prep_beam,-44.9791359030005,-0.9000333190512038,-9.861140290090475
recent_shape+temporal_cyclic,2,0.010925660534047643,763.3103120105122,811.0952392160864,prep_beam,-47.78492720557415,-0.9481355803031875,-12.715033853916111
component_shape,1,0.009508587361926613,774.752240896548,810.9454861332632,preprocess_screen,-36.193245236715256,-1.097888663126355,-1.2731049678803856
id_frequency+ordinal_numeric+trackman_quality,3,0.007836445166081063,786.3533833477599,810.9363177116192,prep_beam,-24.582934363859295,-1.1070570847704175,10.328037483331514
pitcher_reactivity,1,0.008520672320086187,781.592376124407,810.6555641347768,outputs,-29.0631880103698,-1.3878106616127752,5.567030259978651
component_shape+temporal_cyclic,2,0.010708158532757694,764.7362793186785,810.6375922451891,prep_beam,-45.90131292651063,-1.4057825512004456,-11.289066545749847
component_shape+rate_geometry,2,0.009361977986218961,774.8065610685195,809.8923102718536,prep_beam,-35.0857492033341,-2.1510645245359683,-1.2187847959088458
trackman_quality,1,0.009127726209402387,775.5817798226539,808.9336915712786,preprocess_screen,-33.35191174862473,-3.1096832251109845,-0.44356604177448844
no_trackman+rate_geometry,2,0.009418430738676209,771.3193644683925,806.8295237465551,prep_beam,-35.51015927816263,-5.2138510498344885,-4.705981396035895
no_trackman,1,0.009560254461109696,769.7462963192514,806.3339388429291,preprocess_screen,-36.58764252367769,-5.709435953460456,-6.2790495451769175
recent_shape,1,0.009347817062127839,770.7902091464547,805.7698972445793,preprocess_screen,-34.9796880981246,-6.273477551810288,-5.23513671797366
trackman_compact,1,0.00957133120299175,768.3888322783994,805.0613065715528,preprocess_screen,-36.672474293153414,-6.98206822483678,-7.636513586028968
component_compact+rate_geometry,2,0.009133528937945168,771.563796043806,804.9581265947347,prep_beam,-33.39433055092877,-7.085248201654849,-4.461549820622395
ordinal_numeric,1,0.008627624970741599,774.6521303265474,804.4495076860003,preprocess_screen,-29.797377359452867,-7.593867110389283,-1.3732155378809239
component_compact,1,0.008899096422162911,772.293935793833,803.9959859167167,preprocess_screen,-31.702050122883634,-8.047388879672894,-3.7314100705953024
rate_geometry+trackman_compact,2,0.008480588523112731,774.9915038057109,803.7818910988426,prep_beam,-28.790387293131744,-8.261483697546964,-1.0338420587174824
ordinal_numeric+rate_geometry,2,0.00860498422237338,773.0220892982254,802.6632823702639,prep_beam,-29.641193072038504,-9.380092426125657,-3.0032565662029356
component_compact+temporal_cyclic,2,0.010359513861957326,758.7343337942754,801.6953232469426,prep_beam,-42.96098945266726,-10.34805154944695,-17.291012070152988
