k,combo,f23,f24,off24
2,split_ball_no_+split_ball_rat,468.7767462685288,892.5665896839074,-0.00962000831924234
3,split_ball_no_+split_ball_rat+split_ball_rat,477.57685178646534,880.0360203307766,-0.010585704720454059
2,split_ball_rat+split_ball_rat,480.0129028095679,879.9864654068346,-0.01024875492503563
3,split_ball_no_+split_ball_rat+split_ball_rat,475.41746288526366,879.2316383011922,-0.010684106062007398
2,split_ball_rat+split_ball_rat,476.97051759079125,879.0914476306089,-0.010397485460004269
4,split_ball_no_+split_ball_rat+split_ball_rat+split_ball_rat,479.5788572523496,871.6932665097099,-0.011137376030450924
3,split_ball_rat+split_ball_rat+split_ball_rat,481.3709068250849,868.4961909874888,-0.011095231803705446
3,split_ball_no_+bayesian+split_ball_rat,507.9470967475297,866.0499262791443,-0.012855617755539533
4,split_ball_no_+bayesian+split_ball_rat+split_ball_rat,505.1386288831394,862.7578819556336,-0.012770042501698914
4,split_ball_no_+bayesian+split_ball_rat+split_ball_rat,503.80046817681824,862.0543856712404,-0.01284357736417277
2,split_ball_no_+split_ball_rat,480.1261099395826,861.7012039230376,-0.011867923653990975
2,split_ball_no_+split_ball_rat,477.06790553410093,860.291265765245,-0.012014810023744382
5,split_ball_no_+bayesian+split_ball_rat+split_ball_rat+split_ball_rat,501.72852481497057,859.4750766609316,-0.012774689683646423
3,split_ball_no_+interact+split_ball_rat,508.37409122708175,857.1050308951889,-0.012777655147521688
4,split_ball_no_+interact+split_ball_rat+split_ball_rat,505.3776540144161,855.6903300564134,-0.012710136693087043
3,split_ball_no_+split_ball_rat+split_ball_rat,481.5223038996619,855.5031806840585,-0.012172088629739952
4,split_ball_no_+interact+split_ball_rat+split_ball_rat,503.9912250697998,854.9290255525532,-0.012783502603387537
3,bayesian+split_ball_rat+split_ball_rat,511.8541559114287,854.7791350087986,-0.013266342173663764
3,split_ball_no_+mtend+split_ball_rat,506.25547529453695,854.4998216045485,-0.0131621396090299
2,bayesian+split_ball_rat,516.590448611709,854.3301479914555,-0.01363772666646762
3,bayesian+split_ball_rat+split_ball_rat,510.27385363729974,853.9314997790037,-0.013364770556110656
5,split_ball_no_+interact+split_ball_rat+split_ball_rat+split_ball_rat,501.84958581144247,853.6120372090284,-0.01272596650105648
4,split_ball_no_+split_ball_rat+mtend+split_ball_rat,503.3340704839628,853.5016111370309,-0.012997621682578953
4,split_ball_no_+mtend+split_ball_rat+split_ball_rat,502.0830165530454,852.875196524816,-0.013071441398367911
4,bayesian+split_ball_rat+split_ball_rat+split_ball_rat,506.5479684260854,852.8474536315333,-0.0131486905352107
5,split_ball_no_+split_ball_rat+mtend+split_ball_rat+split_ball_rat,500.0813230468859,851.8380671113324,-0.012955826549652188
4,split_ball_id_+split_ball_no_+split_ball_rat+split_ball_rat,509.52853740465764,848.1006842449457,-0.012971623943266453
3,split_ball_id_+split_ball_no_+split_ball_rat,515.1389733097255,848.060165800324,-0.013130374218986801
4,split_ball_no_+split_ball_rat+split_ball_id_+split_ball_rat,505.38175966868823,847.5448757603865,-0.013127132859377555
4,split_ball_id_+split_ball_no_+split_ball_rat+split_ball_rat,508.34498486272975,847.4468083638276,-0.013045333907530321
5,split_ball_id_+split_ball_no_+split_ball_rat+split_ball_rat+split_ball_rat,504.85397559079104,847.2249458170822,-0.012933914018943393
5,split_ball_no_+split_ball_rat+split_ball_id_+split_ball_rat+split_ball_rat,501.61315265426776,846.9349434818251,-0.013058870235820058
3,split_ball_no_+split_ball_id_+split_ball_rat,509.4198633981639,846.9189148281431,-0.013336257685116731
4,split_ball_no_+split_ball_id_+split_ball_rat+split_ball_rat,504.2102559380535,846.9060059984712,-0.013200877155405494
4,split_ball_no_+id_frequency__+split_ball_rat+split_ball_rat,509.8485589527857,845.5204916813286,-0.013102964008826212
5,split_ball_no_+id_frequency__+split_ball_rat+split_ball_rat+split_ball_rat,505.3055105762927,845.274180686717,-0.013039416386260355
