k,combo,f23,f24,off24,m
2,split_ball_drop_20+split_ball_fw050+d,576.4622222812266,907.1094978269633,-0.009952148194983135,576.4622222812266
2,split_ball_drop_20+split_ball_drop_20,558.6996709705638,885.40962438578,-0.0116115740566341,558.6996709705638
2,split_ball_drop_20+split_ball_drop_20,561.0166796786941,951.8915123192473,-0.006006403122569198,561.0166796786941
2,split_ball_drop_20+split_ball_drop_20,582.4745487576166,967.4470088901211,-0.0028946029769287007,582.4745487576166
2,split_ball_drop_20+split_ball_drop_20,559.8108890390586,928.9221594989905,-0.007949147295686881,559.8108890390586
2,split_ball_drop_20+split_ball_drop_20,575.1955860346825,954.5833686522064,-0.005212724843291966,575.1955860346825
2,split_ball_drop_20+split_ball_drop_20,558.2159955205613,884.3388510701211,-0.011389345194779937,558.2159955205613
2,split_ball_drop_20+split_ball_rate_mu,594.6485197045548,886.0083980077094,-0.011359371608872598,594.6485197045548
2,split_ball_fw050+d+split_ball_drop_20,571.8296144474166,887.7650781562107,-0.011406219069266976,571.8296144474166
2,split_ball_fw050+d+split_ball_drop_20,560.9710406000556,953.1538253133798,-0.005797548244387163,560.9710406000556
2,split_ball_fw050+d+split_ball_drop_20,556.927640867777,959.8699560577905,-0.002656284375059881,556.927640867777
2,split_ball_fw050+d+split_ball_drop_20,554.3691525417893,928.4387851438591,-0.007733239868874059,554.3691525417893
2,split_ball_fw050+d+split_ball_drop_20,543.5111734809484,944.208718980899,-0.004963869887317424,543.5111734809484
2,split_ball_fw050+d+split_ball_drop_20,523.8543004510321,881.2169313530238,-0.01116334609935865,523.8543004510321
2,split_ball_fw050+d+split_ball_rate_mu,564.6264820061142,882.053592028631,-0.011130391083728347,564.6264820061142
2,split_ball_drop_20+split_ball_drop_20,557.6623889963828,944.1567925766892,-0.007503686556046163,557.6623889963828
2,split_ball_drop_20+split_ball_drop_20,580.3808972736913,966.3221136285482,-0.004415303448297242,580.3808972736913
2,split_ball_drop_20+split_ball_drop_20,554.5420716178807,915.8028504661075,-0.009426893148957505,554.5420716178807
2,split_ball_drop_20+split_ball_drop_20,572.2225712798568,946.1118698489313,-0.006706370534100475,572.2225712798568
2,split_ball_drop_20+split_ball_drop_20,553.2346244841002,860.9687559936297,-0.012828301034499306,553.2346244841002
2,split_ball_drop_20+split_ball_rate_mu,594.6984602887451,862.2892538574512,-0.012801819046315888,594.6984602887451
2,split_ball_drop_20+split_ball_drop_20,562.3172367349216,967.1902157662005,0.001419385325904271,562.3172367349216
2,split_ball_drop_20+split_ball_drop_20,549.6030952316655,963.7520244476838,-0.0037544267269799814,549.6030952316655
2,split_ball_drop_20+split_ball_drop_20,553.4515624447512,969.5797238365222,-0.0009520969563471537,553.4515624447512
2,split_ball_drop_20+split_ball_drop_20,536.3744425848193,941.6308358918268,-0.007274930998501544,536.3744425848193
2,split_ball_drop_20+split_ball_rate_mu,576.8887789155519,942.0193473598571,-0.007232525070828333,576.8887789155519
2,split_ball_drop_20+split_ball_drop_20,561.9882053418123,965.5994759254272,-0.0005966986334715318,561.9882053418123
2,split_ball_drop_20+split_ball_drop_20,543.3792510732061,950.355815119408,0.0022706036736646062,543.3792510732061
2,split_ball_drop_20+split_ball_drop_20,529.9577325441951,959.0203858083623,-0.004168473098748654,529.9577325441951
2,split_ball_drop_20+split_ball_rate_mu,551.9928894276327,958.7711299482105,-0.004117744119634503,551.9928894276327
2,split_ball_drop_20+split_ball_drop_20,548.5556439189909,958.9094523030584,-0.00293663094873553,548.5556439189909
2,split_ball_drop_20+split_ball_drop_20,530.9484601390025,911.5964367458319,-0.009191915897404507,530.9484601390025
2,split_ball_drop_20+split_ball_rate_mu,571.0095148750538,911.89611724245,-0.009153259110251721,571.0095148750538
2,split_ball_drop_20+split_ball_drop_20,512.8844300104186,938.560432361546,-0.006459674050254577,512.8844300104186
2,split_ball_drop_20+split_ball_rate_mu,551.3339061876233,938.8704443294093,-0.006416355642653332,551.3339061876233
2,split_ball_drop_20+split_ball_rate_mu,540.7085465626293,856.1297104314302,-0.012559356335247684,540.7085465626293
3,split_ball_drop_20+split_ball_fw050+d+split_ball_drop_20,573.5148703207793,895.9061293468574,-0.010999191217382853,573.5148703207793
3,split_ball_drop_20+split_ball_fw050+d+split_ball_drop_20,570.406437030213,942.0646008952094,-0.007268772123602829,570.406437030213
3,split_ball_drop_20+split_ball_fw050+d+split_ball_drop_20,578.2874715080211,955.7370398741938,-0.0052056157608280085,578.2874715080211
3,split_ball_drop_20+split_ball_fw050+d+split_ball_drop_20,567.7752222054355,924.1645777208762,-0.008554292508934053,567.7752222054355
3,split_ball_drop_20+split_ball_fw050+d+split_ball_drop_20,571.1679025811267,941.6074234525951,-0.006730911790386984,571.1679025811267
3,split_ball_drop_20+split_ball_fw050+d+split_ball_drop_20,559.6371271518464,893.1770778561554,-0.010843303000948684,559.6371271518464
3,split_ball_drop_20+split_ball_fw050+d+split_ball_rate_mu,593.4572606323574,895.7847529415974,-0.010828215978782696,593.4572606323574
3,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,561.2159803390359,932.6498588979271,-0.00839405342749161,561.2159803390359
3,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,580.2439054332754,952.9104097520724,-0.00635427479543893,580.2439054332754
3,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,560.0826846246742,913.1741382411907,-0.009674042924128545,560.0826846246742
3,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,575.498071394287,936.8704328708067,-0.007872285461415912,575.498071394287
3,split_ball_drop_20+split_ball_drop_20+split_ball_drop_20,564.3072838944163,878.8375971894857,-0.011950307125486975,564.3072838944163
3,split_ball_drop_20+split_ball_drop_20+split_ball_rate_mu,597.8451483929837,881.6220089324033,-0.011938077675672953,597.8451483929837
