target,combo,n_atoms,n_features,src,n,target_mean,pred_mean,offset,null,brier,bss_raw,bss_centered,bss_norm,d_centered,verdict
mr,no_component,1,227,fit 47s,245343,0.034221477686341165,0.03936309497155115,0.005141617285209989,0.03305036815130442,0.03307387151372505,-71.11376887858344,8.873928040709078,-0.7111376887858345,3.077613907742638,잡음 이내 (sd 10.35)
mr,recent_shape,1,284,fit 47s,245343,0.034221477686341165,0.039345130568648766,0.005123652882307601,0.03305036815130442,0.03307425785881364,-72.28272738100117,7.1470046516197705,-0.7228272738100117,1.3506905186533302,잡음 이내 (sd 10.35)
mr,no_trackman,1,174,fit 44s,245343,0.034221477686341165,0.03934079160916863,0.0051193139228274676,0.03305036815130442,0.03307445143010829,-72.86841312512671,6.4268459185168325,-0.7286841312512671,0.6305317855503922,잡음 이내 (sd 10.35)
mr,trackman_quality,1,283,fit 51s,245343,0.034221477686341165,0.0393382965739213,0.0051168188875801365,0.03305036815130442,0.033074618845799035,-73.37496025339175,5.8430242737994575,-0.7337496025339174,0.04671014083301728,잡음 이내 (sd 10.35)
mr,count_multiscale,1,290,fit 49s,245343,0.034221477686341165,0.03934046869647522,0.005118991010134057,0.03305036815130442,0.033074656517106095,-73.48894175849274,5.79631413296644,-0.7348894175849274,0.0,잡음 이내 (sd 10.35)
mr,context_robust,1,282,fit 47s,245343,0.034221477686341165,0.03934046869647522,0.005118991010134057,0.03305036815130442,0.033074656517106095,-73.48894175849274,5.79631413296644,-0.7348894175849274,0.0,잡음 이내 (sd 10.35)
mr,rate_geometry,1,290,fit 48s,245343,0.034221477686341165,0.03934046869647522,0.005118991010134057,0.03305036815130442,0.033074656517106095,-73.48894175849274,5.79631413296644,-0.7348894175849274,0.0,잡음 이내 (sd 10.35)
mr,baseline,0,-1,cache,245343,0.034221477686341165,0.03934046869647522,0.005118991010134057,0.03305036815130442,0.033074656517106095,-73.48894175849274,5.79631413296644,-0.7348894175849274,0.0,잡음 이내 (sd 10.35)
mr,trackman_compact,1,227,fit 48s,245343,0.034221477686341165,0.03934255552612908,0.0051210778397879145,0.03305036815130442,0.03307467852628898,-73.55553461090292,5.794377986423349,-0.7355553461090292,-0.001936146543091155,잡음 이내 (sd 10.35)
mr,temporal_cyclic,1,280,fit 49s,245343,0.034221477686341165,0.03937542452267843,0.005153946836337263,0.03305036815130442,0.03307501900644505,-74.58572027936316,5.786056126189099,-0.7458572027936317,-0.010258006777341677,잡음 이내 (sd 10.35)
mr,rate_multiscale,1,332,fit 48s,245343,0.034221477686341165,0.03935178446079318,0.0051303067744520175,0.03305036815130442,0.033074793621582575,-73.90377670328796,5.732394002844199,-0.7390377670328796,-0.0639201301222414,잡음 이내 (sd 10.35)
mr,component_compact,1,268,fit 46s,245343,0.034221477686341165,0.03933328150017167,0.005111803813830508,0.03305036815130442,0.03307460896479671,-73.3450634538224,5.7177116156270635,-0.7334506345382241,-0.07860251733937673,잡음 이내 (sd 10.35)
mr,component_shape,1,284,fit 47s,245343,0.034221477686341165,0.039337938605650484,0.005116460919309319,0.03305036815130442,0.03307468809643658,-73.5844908620331,5.622410008088163,-0.7358449086203311,-0.1739041248782769,잡음 이내 (sd 10.35)
mr,drop_ids,1,268,fit 34s,245343,0.034221477686341165,0.03938531303501879,0.005163835348677627,0.03305036815130442,0.033075223064624314,-75.20313603197604,5.477343489990183,-0.7520313603197604,-0.3189706429762573,잡음 이내 (sd 10.35)
mr,id_frequency,1,276,fit 34s,245343,0.034221477686341165,0.039372930770847324,0.005151453084506159,0.03305036815130442,0.033075235509618134,-75.24079066192346,5.053228334706006,-0.7524079066192346,-0.7430857982604344,잡음 이내 (sd 10.35)
mr,pitcher_reactivity,1,281,fit 47s,245343,0.034221477686341165,0.039308856334793585,0.00508737864845242,0.03305036815130442,0.033074644314561766,-73.45202070432322,4.857005670966252,-0.7345202070432322,-0.9393084620001879,잡음 이내 (sd 10.35)
mr,ordinal_numeric,1,272,fit 42s,245343,0.034221477686341165,0.03935249314872088,0.0051310154623797136,0.03305036815130442,0.0330760681436772,-77.76007896531655,1.898094748953305,-0.7776007896531656,-3.898219384013135,잡음 이내 (sd 10.35)
