target,combo,n_atoms,n_features,src,n,target_mean,pred_mean,offset,null,brier,bss_raw,bss_centered,bss_norm,d_centered,verdict
reverse,drop_ids,1,268,fit 42s,253035,0.2480012646471832,0.25811464289890185,0.010113378251718652,0.186496637380581,0.18382577932603555,1432.121292940558,1486.9643298440537,14.32121292940558,42.370015610382325,채택 후보
reverse,id_frequency,1,276,fit 44s,253035,0.2480012646471832,0.258601502000558,0.010600237353374786,0.186496637380581,0.183861956660578,1412.7229085779459,1472.9733417900736,14.127229085779458,28.379027556402207,채택 후보
reverse,rate_multiscale,1,332,fit 57s,253035,0.2480012646471832,0.25764892144959156,0.009647656802408366,0.186496637380581,0.1838782856597342,1403.967255186256,1453.8755447320418,14.039672551862559,9.281230498370405,채택 후보
reverse,context_robust,1,282,fit 62s,253035,0.2480012646471832,0.25738219310978816,0.009380928462604965,0.186496637380581,0.18387678682595085,1404.7709339036874,1451.9577465221257,14.047709339036874,7.363432288454305,채택 후보
reverse,component_shape,1,284,fit 60s,253035,0.2480012646471832,0.25780730724145917,0.009806042594275977,0.186496637380581,0.18388609835685987,1399.7780659143143,1451.338497625798,13.997780659143144,6.744183392126615,채택 후보
reverse,trackman_quality,1,283,fit 55s,253035,0.2480012646471832,0.25776352041479555,0.00976225576761236,0.186496637380581,0.18388757119940943,1398.9883237665479,1450.089318943093,13.98988323766548,5.495004709421664,채택 후보
reverse,rate_geometry,1,290,fit 55s,253035,0.2480012646471832,0.2575170577156355,0.009515793068452294,0.186496637380581,0.1838829633119784,1401.4590854359076,1450.0124100392143,14.014590854359078,5.418095805542862,채택 후보
reverse,recent_shape,1,284,fit 56s,253035,0.2480012646471832,0.25781841164140873,0.009817146994225534,0.186496637380581,0.1838906779434673,1397.3224792229066,1448.9997515104158,13.973224792229066,4.405437276744351,채택 후보
reverse,ordinal_numeric,1,272,fit 49s,253035,0.2480012646471832,0.2570970203067275,0.009095755659544291,0.186496637380581,0.183879155150608,1403.5010318344532,1447.8625668091106,14.035010318344533,3.268252575439192,채택 후보
reverse,count_multiscale,1,290,fit 64s,253035,0.2480012646471832,0.25750334965629373,0.009502085009110539,0.186496637380581,0.18388909149575525,1398.173136765235,1446.5866742898404,13.981731367652351,1.992360056168991,채택 후보
reverse,trackman_compact,1,227,fit 52s,253035,0.2480012646471832,0.2577748046178558,0.009773539970672596,0.186496637380581,0.18389538771620298,1394.7970863783964,1446.0162852336423,13.947970863783965,1.4219709999708812,잡음 이내 (sd 1.93)
reverse,pitcher_reactivity,1,281,fit 55s,253035,0.2480012646471832,0.2578851006296611,0.009883835982477884,0.186496637380581,0.1838993222712925,1392.6873673267391,1445.0691234273006,13.926873673267393,0.4748091936291985,잡음 이내 (sd 1.93)
reverse,baseline,0,272,fit 63s,253035,0.2480012646471832,0.2574328713302218,0.009431606683038607,0.186496637380581,0.1838914727653677,1396.8962935760553,1444.5943142336714,13.968962935760555,0.0,잡음 이내 (sd 1.93)
reverse,temporal_cyclic,1,280,fit 55s,253035,0.2480012646471832,0.2542696816606042,0.006268417013421013,0.186496637380581,0.18384784244676652,1420.2909880938641,1441.3600284830297,14.202909880938641,-3.234285750641675,잡음 이내 (sd 1.93)
reverse,no_trackman,1,174,fit 57s,253035,0.2480012646471832,0.2569718112965549,0.008970546649371691,0.186496637380581,0.18389080288319562,1397.2554862035859,1440.404096451353,13.972554862035857,-4.190217782318314,잡음 이내 (sd 1.93)
reverse,component_compact,1,268,fit 61s,253035,0.2480012646471832,0.2573182746399183,0.009317009992735104,0.186496637380581,0.18390211302326198,1391.1909585932135,1437.7369319812371,13.911909585932136,-6.857382252434263,잡음 이내 (sd 1.93)
reverse,no_component,1,227,fit 60s,253035,0.2480012646471832,0.2577072519995588,0.0097059873523756,0.186496637380581,0.18410838377870903,1280.5880231493427,1331.1016365890493,12.805880231493427,-113.49267764462206,잡음 이내 (sd 1.93)
