target,arm,n_features,bss_centered,bss_norm,bss_raw
middle,base,186,939.08,6.93,693.0
middle,fw020,186,958.59,7.09,709.0
middle,short05,186,925.76,6.74,674.0
middle,treeparam,186,925.61,6.78,678.0
middle,interact,231,940.53,6.97,697.0
middle,fw020+short05,186,953.94,7.09,709.0
middle,balanced,186,773.06,-727.43,-72743.0
middle,sqrtbal,186,984.42,-102.25,-10225.0
middle,spw2,186,1006.72,-47.91,-4791.0
middle,depthwise,186,963.74,7.25,725.0
middle,lossguide,186,973.21,7.47,747.0
middle,deep10,186,920.63,6.77,677.0
middle,shallow6,186,913.21,6.53,653.0
middle,border512,186,925.74,6.83,683.0
middle,l2_20,186,950.68,7.17,717.0
middle,l2_1,186,949.04,7.32,732.0
middle,bayesian,186,974.99,7.26,726.0
middle,crossent,186,939.08,6.93,693.0
middle,hl_short,186,960.04,7.13,713.0
middle,hl_long,186,853.32,6.06,606.0
middle,no_recency,186,825.78,5.68,568.0
middle,lr005_it2000,186,911.54,6.66,666.0
middle,lr03_it400,186,913.68,6.8,680.0
reverse,base,297,1480.84,14.32,1432.0
reverse,fw020,297,1455.21,14.09,1409.0
reverse,short05,297,1477.44,14.26,1426.0
reverse,treeparam,297,1498.66,14.5,1450.0
reverse,interact,342,1473.4,14.33,1433.0
reverse,fw020+short05,297,1455.05,14.07,1407.0
reverse,balanced,297,1315.87,-381.91,-38191.0
reverse,sqrtbal,297,1404.5,-79.53,-7953.0
reverse,spw2,297,1376.47,-119.37,-11937.0
reverse,depthwise,297,1498.1,14.53,1453.0
reverse,lossguide,297,1482.56,14.32,1432.0
reverse,deep10,297,1466.14,14.17,1417.0
reverse,shallow6,297,1461.42,14.15,1415.0
reverse,border512,297,1468.1,14.23,1423.0
reverse,l2_20,297,1488.38,14.4,1440.0
reverse,l2_1,297,1493.68,14.41,1441.0
reverse,bayesian,297,1516.11,14.63,1463.0
reverse,crossent,297,1480.86,14.32,1432.0
reverse,hl_short,297,1470.9,14.23,1423.0
reverse,hl_long,297,1473.72,14.22,1422.0
reverse,no_recency,297,1465.66,14.16,1416.0
reverse,lr005_it2000,297,1464.42,14.15,1415.0
reverse,lr03_it400,297,1456.02,14.06,1406.0
ball,base,230,1713.05,17.05,1705.0
ball,fw020,230,1702.6,16.94,1694.0000000000002
ball,short05,230,1707.27,16.85,1685.0000000000002
ball,treeparam,230,1714.23,17.06,1705.9999999999998
ball,interact,275,1709.63,17.01,1701.0000000000002
ball,fw020+short05,230,1700.41,16.82,1682.0
ball,balanced,230,1678.59,-57.25,-5725.0
ball,sqrtbal,230,1694.94,-2.21,-221.0
ball,spw2,230,1672.27,-107.6,-10760.0
ball,depthwise,230,1721.19,17.17,1717.0000000000002
ball,lossguide,230,1720.66,17.15,1714.9999999999998
ball,deep10,230,1709.17,17.0,1700.0
ball,shallow6,230,1704.47,16.94,1694.0000000000002
ball,border512,230,1704.68,16.98,1698.0
ball,l2_20,230,1718.06,17.11,1711.0
ball,l2_1,230,1715.49,17.07,1707.0
ball,bayesian,230,1731.0,17.25,1725.0
ball,crossent,230,1713.01,17.05,1705.0
ball,hl_short,230,1709.9,17.01,1701.0000000000002
ball,hl_long,230,1723.01,17.14,1714.0
ball,no_recency,230,1723.96,17.15,1714.9999999999998
ball,lr005_it2000,230,1707.93,16.96,1696.0
ball,lr03_it400,230,1713.05,17.04,1704.0
