target,arm,fold,d,n,target_mean,pred_mean,offset,null,brier,bss_raw,bss_centered,bss_norm,rule
reverse,single,2024,0.0,253035,0.2480012646471832,0.2581158790972939,0.0101146144501106,0.186496637380581,0.1837720691249962,1460.9208476101364,1515.777292697451,14.609208476101363,
reverse,split_ball,2024,-33.027628376214125,253035,0.2480012646471832,0.2574981871258418,0.0094969224786586,0.186496637380581,0.1838336645413244,1427.8932192339223,1476.2541644136372,14.278932192339225,
reverse,split_count,2024,-139.6235273411039,253035,0.2480012646471832,0.2567103599389709,0.0087090952917877,0.186496637380581,0.1840324623084795,1321.2973202690323,1361.967405192166,13.212973202690325,
reverse,lgbm,2024,-2201.349287955834,253035,0.2480012646471832,0.3078153187634149,0.0598140541162317,0.186496637380581,0.1878775115240352,-740.4284403456974,1177.9552474622812,-7.404284403456973,
reverse,cat_lgbm,2024,-641.3877605520368,253035,0.2480012646471832,0.2829655989303544,0.0349643342831711,0.186496637380581,0.1849682357309963,819.5330870580997,1475.043389568631,8.195330870580996,
outside,single,2024,0.0,253035,0.1229434663188887,0.1260106478785514,0.0030671815596627,0.1078283704083849,0.1061501880647959,1556.345827385852,1565.0704354684076,15.563458273858522,
outside,split_ball,2024,-6.9860173334102456,253035,0.1229434663188887,0.1256089360329535,0.0026654697140648,0.1078283704083849,0.1061577209734429,1549.3598100524418,1555.9487335145338,15.49359810052442,
outside,split_count,2024,-56.3439755663087,253035,0.1229434663188887,0.1252900740012942,0.0023466076824055,0.1078283704083849,0.1062109428554723,1500.0018518195434,1505.1086410571734,15.000018518195436,
outside,lgbm,2024,-346.9867736170306,253035,0.1229434663188887,0.1092671137747451,-0.0136763525441435,0.1078283704083849,0.1065243382483198,1209.3590537688217,1382.8223252652872,12.093590537688216,
outside,cat_lgbm,2024,-49.752436522643166,253035,0.1229434663188887,0.1176388808266483,-0.0053045854922403,0.1078283704083849,0.1062038353063367,1506.593390863209,1532.689145754007,15.06593390863209,
middle,single_last,2024,0.0,253035,0.1762918173375224,0.1563397528426463,-0.0199520644948761,0.145213012477356,0.1442073821749153,692.5207908606179,966.6593620646148,6.925207908606179,last
reverse,single_last,2024,0.0,253035,0.2480012646471832,0.2581398060602834,0.0101385414131002,0.186496637380581,0.183775411540263,1459.128635528595,1514.2449225721057,14.591286355285948,last
outside,single_last,2024,0.0,253035,0.1229434663188887,0.1260491411545903,0.0031056748357015,0.1078283704083849,0.1061530350187755,1553.7055630761463,1562.6505338185882,15.537055630761463,last
middle,single_linear_3,2024,0.0,253035,0.1762918173375224,0.1558230581072495,-0.0204687592302729,0.145213012477356,0.1442271673932269,678.8958284870362,967.4168757948576,6.788958284870361,linear_3
reverse,single_linear_3,2024,0.0,253035,0.2480012646471832,0.2581309727958992,0.0101297081487159,0.186496637380581,0.1837776609625116,1457.9224892515283,1512.9427773486136,14.579224892515285,linear_3
outside,single_linear_3,2024,0.0,253035,0.1229434663188887,0.1259849108066455,0.0030414444877568,0.1078283704083849,0.1061544277671348,1552.4139286444915,1560.992732661548,15.524139286444916,linear_3
middle,single_ewm,2024,0.0,253035,0.1762918173375224,0.1561002597323163,-0.0201915576052061,0.145213012477356,0.144218226406296,685.0529811955441,965.8122544651592,6.850529811955441,ewm
reverse,single_ewm,2024,0.0,253035,0.2480012646471832,0.2581000906256012,0.0100988259784179,0.186496637380581,0.1837732553830446,1460.2847728448776,1514.970094561574,14.602847728448776,ewm
outside,single_ewm,2024,0.0,253035,0.1229434663188887,0.1260503482333168,0.0031068819144281,0.1078283704083849,0.1061528064712016,1553.917518031056,1562.8694433857947,15.53917518031056,ewm
middle,single_median_diff,2024,0.0,253035,0.17629181733752247,0.1560508261862123,-0.020240991151310173,0.14521301247735607,0.14421252778485483,688.977299921556,971.11298170236,6.88977299921556,median_diff
reverse,single_median_diff,2024,0.0,253035,0.2480012646471832,0.25807987027168094,0.01007860562449775,0.186496637380581,0.18376870104267715,1462.7268224343347,1517.1933762343715,14.627268224343348,median_diff
outside,single_median_diff,2024,0.0,253035,0.1229434663188887,0.12606299415942746,0.0031195278405387605,0.10782837040838499,0.10615308195332526,1553.6620359881126,1562.6869836072087,15.536620359881127,median_diff
