combo,k,w,f23,f24,d
l2_1+bayesian+depthwise,3,lr23,535.7595689126748,894.8254090806129,162.86386046078235
all+l2_1+bayesian+depthwise,4,lr23,538.5167347467524,890.4331218586581,158.47157323882755
bayesian+depthwise,2,lr23,532.5896880546521,889.7261389679056,157.7645903480751
l2_1+bayesian,2,lr23,536.8992042388277,887.088454793894,155.1269061740635
l2_1+depthwise,2,lr23,526.5468407368967,886.9640359166375,155.00248729680698
all+l2_1+depthwise,3,lr23,535.0057894102478,886.9072838119773,154.9457351921468
all+bayesian+depthwise,3,lr23,535.1526511530147,882.9309977596233,150.9694491397928
all+l2_1+bayesian,3,lr23,538.6524269962667,882.6185723690205,150.65702374919
split_ball_id_fr+l2_1+bayesian+depthwise,4,lr23,554.7449803403604,877.473698255371,145.51214963554048
all+depthwise,2,lr23,528.6810134348397,874.4614731536982,142.49992453386767
all+l2_1,2,lr23,533.4879158367389,873.4366602498267,141.47511162999615
split_ball_id_fr+all+l2_1+depthwise,4,lr23,554.6452983123618,872.0520399069231,140.09049128709262
split_ball_id_fr+all+l2_1+bayesian,4,lr23,555.4461953358735,871.5605845290297,139.5990359091992
l2_1+bayesian+baseline+depthwise,4,lr23,537.5239432326762,871.0068357404843,139.04528712065382
split_ball_id_fr+l2_1+bayesian,3,lr23,557.1800835180273,870.295575487312,138.3340268674815
split_ball_id_fr+all+bayesian+depthwise,4,lr23,552.9905404683456,870.1392528124296,138.1777041925991
split_ball_id_fr+bayesian+depthwise,3,lr23,554.1383515218934,869.5491387232912,137.58759010346068
split_ball_id_fr+l2_1+depthwise,3,lr23,555.3208657103181,869.3301267679865,137.36857814815596
all+l2_1+bayesian+baseline,4,lr23,540.6110560853273,863.553377522297,131.59182890246643
all+l2_1+baseline+depthwise,4,lr23,536.994894006737,863.0231683096845,131.06161968985396
split_ball_id_fr+all+l2_1,3,lr23,556.7035196339942,862.6289080185811,130.6673593987506
all+bayesian+baseline+depthwise,4,lr23,538.2128363538907,862.600135474556,130.63858685472553
all+bayesian,2,lr23,531.6817497102111,862.5194683492543,130.55791972942382
split_ball_id_fr+all+depthwise,3,lr23,553.294431485385,860.8196659345091,128.85811731467857
bayesian+baseline+depthwise,3,lr23,536.1956591347416,858.5814888083521,126.61994018852158
split_ball_id_fr+all+bayesian,3,lr23,554.0140000809268,858.4093409927829,126.44779237295234
l2_1+bayesian+baseline,3,lr23,539.0115248166683,858.0058477889119,126.04429916908134
l2_1+ordinal_numeric_+bayesian+depthwise,4,lr23,538.3546951477136,857.8294628566518,125.86791423682132
split_ball_id_fr+l2_1+bayesian+baseline,4,lr23,556.3599930520357,854.819535179463,122.85798655963242
split_ball_id_fr+l2_1,2,lr23,559.7703248205854,854.184302715566,122.22275409573547
split_ball_id_fr+bayesian+baseline+depthwise,4,lr23,554.1682222377941,852.614366244675,120.65281762484449
split_ball_id_fr+bayesian,2,lr23,557.1266712425249,852.5599085892899,120.59835996945935
all+l2_1+ordinal_numeric_+bayesian,4,lr23,540.6235688647621,852.1231296526377,120.16158103280713
all+l2_1+ordinal_numeric_+depthwise,4,lr23,538.7268596613648,851.9009924802923,119.93944386046178
l2_1+baseline+depthwise,3,lr23,530.5008278262968,850.0991064136488,118.13755779381825
all+ordinal_numeric_+bayesian+depthwise,4,lr23,537.8436401502262,849.7922892175213,117.8307405976908
split_ball_id_fr+all+l2_1+baseline,4,lr23,556.0403324044061,847.1774963752509,115.21594775542042
split_ball_id_fr+all+bayesian+baseline,4,lr23,554.5885574919419,845.4654397213712,113.50389110154072
split_ball_id_fr+l2_1+ordinal_numeric_+bayesian,4,lr23,555.2113080457,845.3541564316769,113.39260781184635
all+l2_1+baseline,3,lr23,537.0761974037963,844.7532977620687,112.79174914223813
all+baseline+depthwise,3,lr23,534.0257261533421,844.355266978447,112.39371835861652
split_ball_id_fr+all+baseline+depthwise,4,lr23,553.5932737873894,844.1858140714631,112.22426545163262
l2_1+ordinal_numeric_+bayesian,3,lr23,538.8597162188203,843.3413915485244,111.37984292869385
all+bayesian+baseline,3,lr23,538.0595607722305,843.1844024226698,111.22285380283927
split_ball_id_fr+ordinal_numeric_+bayesian+depthwise,4,lr23,552.7729530917846,842.2031344115566,110.24158579172604
ordinal_numeric_+bayesian+depthwise,3,lr23,535.4251606657145,841.5301487076698,109.56860008783929
split_ball_id_fr+l2_1+ordinal_numeric_+depthwise,4,lr23,554.1318919928151,840.696887199155,108.73533857932443
split_ball_id_fr+all+l2_1+ordinal_numeric_,4,lr23,555.3069131232879,838.9141633444063,106.95261472457582
l2_1+ordinal_numeric_+depthwise,3,lr23,534.3290143911216,838.6394568283717,106.67790820854123
split_ball_id_fr+all+ordinal_numeric_+bayesian,4,lr23,553.0421085047532,836.1329660935279,104.17141747369737
split_ball_id_fr+bayesian+baseline,3,lr23,556.4050349287309,835.8973329586905,103.93578433886
split_ball_id_fr+all+ordinal_numeric_+depthwise,4,lr23,552.670054360327,835.0286674046026,103.0671187847721
split_ball_id_fr+l2_1+baseline,3,lr23,557.2424395750563,833.5850128407984,101.62346422096789
all+l2_1+ordinal_numeric_,3,lr23,538.3919290471772,833.4099224186375,101.44837379880698
bayesian+baseline,2,lr23,537.6255636286742,831.5181710316866,99.5566224118561
split_ball_id_fr+ordinal_numeric_+bayesian+baseline,4,lr23,560.2500309752512,831.15107188656,99.18952326672945
all+ordinal_numeric_+depthwise,3,lr23,534.7664062678725,830.6516245995099,98.69007597967936
split_ball_id_fr+baseline+depthwise,3,lr23,554.0837476959103,830.5792842828397,98.61773566300917
l2_1+ordinal_numeric_+bayesian+baseline,4,lr23,539.3037649828791,828.1425950627863,96.18104644295579
all+ordinal_numeric_+bayesian,3,lr23,535.9868892302222,827.2153689148242,95.25382029499372
ordinal_numeric_+bayesian+baseline+depthwise,4,lr23,536.7494495493341,825.221002766019,93.25945414618843
split_ball_id_fr+l2_1+ordinal_numeric_,3,lr23,556.20023148375,824.5391176408101,92.57756902097958
split_ball_id_fr+ordinal_numeric_+bayesian,3,lr23,553.923934375744,824.1711533219509,92.20960470212037
split_ball_id_fr+all+baseline,3,lr23,555.0073842217506,822.1726773499416,90.21112873011111
split_ball_id_fr+ordinal_numeric_+depthwise,3,lr23,552.762875620405,820.0728782177924,88.11132959796191
