combo,k,w,f23,f24,d
depthwise+bayesian,2,mean,1792.370833844248,1558.3592566889793,1.9548735757157374
no_component+depthwise+bayesian,3,mean,1774.8226673814704,1556.5389711303944,0.13458801713090907
depthwise+bayesian+id_frequency,3,mean,1794.3227200410417,1554.0975304639383,-2.306852649325265
depthwise+l2_1+bayesian,3,mean,1791.9547593520658,1553.611745915917,-2.792637197346494
fw020+depthwise+bayesian,3,mean,1812.6847201467845,1551.4535361368376,-4.950846976425964
no_component+l2_1+bayesian,3,mean,1774.9706296499412,1551.2004085924236,-5.203974520839893
bayesian+id_frequency,2,mean,1795.3468169733421,1550.4117101643787,-5.992672948884774
l2_1+bayesian,2,mean,1791.585704831622,1548.9021811208147,-7.502201992448818
no_component+bayesian,2,mean,1759.3870205339979,1547.7921890354462,-8.612194077817321
fw020+bayesian,2,mean,1823.2615683632769,1547.0957139555264,-9.308669157737086
l2_1+bayesian+id_frequency,3,mean,1792.9781571170645,1546.9197176160576,-9.484665497205924
fw020+no_component+bayesian,3,mean,1793.6518814698265,1546.1255381204576,-10.278844992805944
no_component+depthwise+l2_1,3,mean,1767.7875063822678,1545.907463179641,-10.496919933622621
depthwise+l2_1,2,mean,1783.404811145517,1545.295535876956,-11.10884723630761
no_component+bayesian+id_frequency,3,mean,1768.727699474515,1544.8598417991843,-11.544541314079197
fw020+l2_1+bayesian,3,mean,1811.409597567648,1544.5135489919992,-11.890834121264334
depthwise+id_frequency,2,mean,1784.8579763018347,1544.2680333495273,-12.136349763736234
depthwise+l2_1+id_frequency,3,mean,1786.7134642463257,1543.865472949213,-12.538910164050549
fw020+bayesian+id_frequency,3,mean,1811.9780717848143,1543.827001280973,-12.577381832290484
fw020+depthwise+l2_1,3,mean,1805.1054745928718,1541.4631048500382,-14.941278263225286
fw020+depthwise,2,mean,1812.670717056708,1540.9632896298042,-15.441093483459326
fw020+no_component+depthwise,3,mean,1785.4740035971095,1539.7703498062908,-16.634033306972697
fw020+depthwise+id_frequency,3,mean,1804.6772744674367,1539.667190028149,-16.73719308511454
no_component+depthwise+id_frequency,3,mean,1760.5772867259507,1538.510673367144,-17.89370974611961
no_component+depthwise,2,mean,1746.8953820246713,1536.7782263921326,-19.626156721130883
fw020+no_component+l2_1,3,mean,1784.6004252414004,1533.8638343493803,-22.54054876388318
l2_1+id_frequency,2,mean,1781.5633093354988,1533.0069894184617,-23.39739369480185
no_component+l2_1+id_frequency,3,mean,1759.649268470187,1532.3825794503643,-24.021803662899174
fw020+l2_1+id_frequency,3,mean,1802.2451114794724,1531.9180663878274,-24.486316725436154
fw020+l2_1,2,mean,1809.4251173545351,1530.2095144216098,-26.19486869165371
no_component+l2_1,2,mean,1746.9936133961305,1529.6012548807303,-26.803128232533254
fw020+id_frequency,2,mean,1806.93679679218,1526.5874655340906,-29.816917579172923
fw020+no_component+id_frequency,3,mean,1775.7169841111752,1525.377174841558,-31.027208271705604
fw020+no_component,2,mean,1771.8884754350129,1518.8931906499947,-37.5111924632688
depthwise+bayesian,2,lr23,1810.767216301845,1517.18551312916,-39.21886998410355
no_component+id_frequency,2,mean,1729.7228583738722,1513.679669691137,-42.72471342212657
no_component+bayesian,2,lr23,1811.6189271668804,1510.275646224457,-46.12873688880654
depthwise+l2_1+bayesian,3,lr23,1811.5769119348313,1509.7219669187978,-46.68241619446576
l2_1+bayesian,2,lr23,1808.0330271467383,1506.2020220510396,-50.20236106222387
no_component+depthwise+bayesian,3,lr23,1814.3879568833454,1505.191772720238,-51.21261039302544
depthwise+bayesian+id_frequency,3,lr23,1822.9620540490378,1501.3519546372977,-55.052428475965826
depthwise+l2_1,2,lr23,1805.7774060172837,1500.3306571756302,-56.0737259376333
no_component+l2_1+bayesian,3,lr23,1811.4870708807018,1496.949339983955,-59.45504312930848
no_component+depthwise+l2_1,3,lr23,1809.8223237438815,1492.6874324319717,-63.71695068129179
bayesian+id_frequency,2,lr23,1824.9530135885705,1492.3069151274171,-64.09746798584638
l2_1+bayesian+id_frequency,3,lr23,1819.5478883115013,1491.726163875584,-64.67821923767951
no_component+depthwise,2,lr23,1806.2175444156558,1487.5232022977802,-68.88118081548328
depthwise+id_frequency,2,lr23,1823.3803350404698,1485.9266581651154,-70.47772494814808
fw020+no_component+bayesian,3,lr23,1865.433159539287,1481.1378981183786,-75.26648499488488
no_component+bayesian+id_frequency,3,lr23,1827.5889177818306,1480.4288065151773,-75.97557659808626
fw020+bayesian,2,lr23,1867.3611921394718,1477.1336814280778,-79.27070168518571
fw020+l2_1+bayesian,3,lr23,1873.1030766786394,1477.109746779015,-79.29463633424848
fw020+no_component+depthwise,3,lr23,1865.5371174485902,1476.237772149558,-80.16661096370558
no_component+l2_1,2,lr23,1798.776371108668,1473.8372716785132,-82.56711143475036
fw020+no_component+l2_1,3,lr23,1867.1446183860073,1473.1078925680151,-83.29649054524839
fw020+no_component,2,lr23,1867.9462826744264,1472.2758476910292,-84.12853542223434
depthwise+l2_1+id_frequency,3,lr23,1826.4307306370297,1471.2173480351144,-85.18703507814917
l2_1+id_frequency,2,lr23,1815.0998721821354,1471.0473397784308,-85.35704333483272
fw020+depthwise+bayesian,3,lr23,1867.968848650048,1470.7786035057402,-85.62577960752333
no_component+depthwise+id_frequency,3,lr23,1826.8561624187773,1470.5181879238637,-85.88619518939981
fw020+id_frequency,2,lr23,1867.9040662145985,1468.2001819368184,-88.20420117644517
fw020+depthwise+id_frequency,3,lr23,1867.7851882047403,1467.9525471759991,-88.45183593726438
fw020+depthwise,2,lr23,1867.7574088799886,1467.5615680358578,-88.8428150774057
fw020+bayesian+id_frequency,3,lr23,1866.6454634078123,1467.3559893834897,-89.0483937297738
fw020+depthwise+l2_1,3,lr23,1870.781538535715,1465.6598251989838,-90.74455791427977
no_component+l2_1+id_frequency,3,lr23,1819.243552612715,1464.8296711945563,-91.57471191870718
fw020+l2_1,2,lr23,1870.7690894863904,1463.1360786575676,-93.2683044556959
fw020+no_component+id_frequency,3,lr23,1865.1897085660507,1463.0593537958703,-93.34502931739326
fw020+l2_1+id_frequency,3,lr23,1870.7561249114435,1457.783223400433,-98.6211597128306
no_component+id_frequency,2,lr23,1822.6667494357418,1448.8510856047965,-107.55329750846704
