combo,k,w,f23,f24,d
hl_short+interact+component_compac,3,mean,163.5987899427871,1434.1683320416632,0.8523882726763077
hl_short+interact,2,mean,164.1142224313441,1432.472741871149,-0.8432018978378437
hl_short+interact+baseline,3,mean,161.41324008880355,1432.4270441547937,-0.8888996141931784
fw020+interact+component_compac,3,mean,255.78832275007235,1431.322502006016,-1.9934417629708605
interact+baseline,2,mean,160.25685391577449,1430.1335122229975,-3.1824315459894024
fw020+interact+baseline,3,mean,255.4042792179967,1429.1610449510217,-4.154898817965204
fw020+hl_short+interact,3,mean,257.3066780439337,1428.9082172116107,-4.407726557376236
fw020+hl_short+component_compac,3,mean,255.16481131075963,1427.8134484055238,-5.50249536346314
fw020+interact,2,mean,300.1039723711685,1427.5464672018122,-5.769476567174706
interact+component_compac,2,mean,163.2704912446714,1427.4682726461485,-5.847671122838392
fw020+hl_short+baseline,3,mean,254.63648099842695,1425.411033717261,-7.904910051725892
hl_short+baseline,2,mean,159.2085682481925,1425.349235157558,-7.966708611428885
hl_short+component_compac,2,mean,162.53412543775215,1423.220868739672,-10.095075029315012
interact+component_compac+baseline,3,mean,161.06060900356044,1423.2125640192273,-10.103379749759597
fw020+hl_short,2,mean,299.09717439593476,1421.3507474562737,-11.96519631271326
hl_short+component_compac+baseline,3,mean,160.41813480390798,1420.3172474716919,-12.998696297295055
no_component__ba+hl_short+interact,3,mean,153.37260637027228,1420.1372572070325,-13.178686561954464
fw020+baseline,2,mean,296.7398287939238,1419.3535380083056,-13.96240576068135
fw020+component_compac,2,mean,296.01045359156643,1418.1609408001505,-15.15500296883647
fw020+component_compac+baseline,3,mean,253.29177426079985,1417.0047785143413,-16.31116525464563
fw020+no_component__ba+interact,3,mean,247.59713540432048,1416.5459537302415,-16.76999003874539
fw020+no_component__ba+hl_short,3,mean,247.03297254601299,1413.7171783705992,-19.59876539838774
no_component__ba+interact+baseline,3,mean,150.56346415386335,1406.4719005712934,-26.84404319769351
no_component__ba+hl_short+baseline,3,mean,149.9825855940662,1404.2566516680677,-29.059292100919265
fw020+no_component__ba+baseline,3,mean,244.88963814858212,1400.2050449811065,-33.11089878788039
no_component__ba+interact,2,mean,147.64542907361732,1398.512707442412,-34.80323632657496
no_component__ba+interact+component_compac,3,mean,152.50902976438053,1396.4390601449272,-36.8768836240597
component_compac+baseline,2,mean,158.7536296152714,1395.8800046473207,-37.43593912166625
no_component__ba+hl_short,2,mean,147.04544865036252,1395.7822792360907,-37.53366453289618
no_component__ba+hl_short+component_compac,3,mean,152.06579426704226,1394.4481483036952,-38.86779546529169
fw020+no_component__ba+component_compac,3,mean,245.17233939743699,1390.828352089768,-42.487591679218895
