axis,axis_title,lam,fit,eval,scope,n_bins,bss,delta,bss_self,w
(전역),(전역 가중 하나),0.0,2022,2024,all,1,845.2416939894403,0.0,929.0643592867576,0.101 0.874 0.024 0.000
a1_count,A1 볼카운트,0.0,2022,2024,all,12,845.2416939894403,0.0,845.2416939894403,
a1_count,A1 볼카운트,0.25,2022,2024,all,12,847.2193164946518,1.9776225052115706,881.9242760548796,
a1_count,A1 볼카운트,0.5,2022,2024,all,12,848.730250974139,3.488556984698789,910.5366437944351,
a1_count,A1 볼카운트,0.75,2022,2024,all,12,849.7744974279797,4.532803438539418,931.078797208229,
a1_count,A1 볼카운트,1.0,2022,2024,all,12,850.3520558561183,5.11036186667809,943.5507362961948,
a1b_phase,A1b 카운트 국면,0.0,2022,2024,all,7,845.2416939894403,0.0,845.2416939894403,
a1b_phase,A1b 카운트 국면,0.25,2022,2024,all,7,846.2125304905421,0.9708365011018714,881.2626725773654,
a1b_phase,A1b 카운트 국면,0.5,2022,2024,all,7,846.9701182161615,1.7284242267212448,909.3328192950501,
a1b_phase,A1b 카운트 국면,0.75,2022,2024,all,7,847.5144571663318,2.2727631768915444,929.4521341425499,
a1b_phase,A1b 카운트 국면,1.0,2022,2024,all,7,847.8455473410196,2.603853351579346,941.620617119776,
a2_li,A2 경기 중요도 li,0.0,2022,2024,all,6,845.2416939894403,0.0,845.2416939894403,
a2_li,A2 경기 중요도 li,0.25,2022,2024,all,6,845.9889451846392,0.7472511951989418,880.5697208454477,
a2_li,A2 경기 중요도 li,0.5,2022,2024,all,6,846.5052038408417,1.263509851401409,907.1164941660048,
a2_li,A2 경기 중요도 li,0.75,2022,2024,all,6,846.7904699579254,1.548775968485188,924.8820139510783,
a2_li,A2 경기 중요도 li,1.0,2022,2024,all,6,846.844743536046,1.6030495466058028,933.8662802007013,
a3_load,A3 전시즌 경기당 대비 등판 투구수,0.0,2022,2024,all,8,845.2416939894403,0.0,845.2416939894403,
a3_load,A3 전시즌 경기당 대비 등판 투구수,0.25,2022,2024,all,8,845.7490022427461,0.5073082533058368,880.9545880281933,
