axis,axis_title,lam,fit,eval,d_all,d_R
a1_count,A1 볼카운트,0.0,2022,2024,0.0,0.0
a1_count,A1 볼카운트,0.5,2022,2024,-5.9808271706262985,-4.637316810385187
a1_count,A1 볼카운트,1.0,2022,2024,-14.181072092212048,-11.556421503755587
a1_count,A1 볼카운트,1.5,2022,2024,-21.191448071866716,-17.559790668941673
a1_count,A1 볼카운트,2.0,2022,2024,-26.07233435371063,-21.811752458122896
a1b_phase,A1b 카운트 국면,0.0,2022,2024,0.0,0.0
a1b_phase,A1b 카운트 국면,0.5,2022,2024,-6.078923592844944,-4.559758516020565
a1b_phase,A1b 카운트 국면,1.0,2022,2024,-14.378520483915395,-11.396520999829022
a1b_phase,A1b 카운트 국면,1.5,2022,2024,-23.564194131320278,-19.43622710001148
a1b_phase,A1b 카운트 국면,2.0,2022,2024,-29.369385006439188,-24.774787305814584
a2_li,A2 경기 중요도 li,0.0,2022,2024,0.0,0.0
a2_li,A2 경기 중요도 li,0.5,2022,2024,-1.5557126338161424,-1.027082629345614
a2_li,A2 경기 중요도 li,1.0,2022,2024,-6.3794743072276106,-5.3825292873455055
a2_li,A2 경기 중요도 li,1.5,2022,2024,-13.246319251936143,-11.818225123516527
a2_li,A2 경기 중요도 li,2.0,2022,2024,-18.288525061638325,-16.683518183469005
a3_load,A3 전시즌 경기당 대비 등판 투구수,0.0,2022,2024,0.0,0.0
a3_load,A3 전시즌 경기당 대비 등판 투구수,0.5,2022,2024,-0.7054647059857189,-1.227618291521594
a3_load,A3 전시즌 경기당 대비 등판 투구수,1.0,2022,2024,-2.083211055947686,-3.1211756326365503
a3_load,A3 전시즌 경기당 대비 등판 투구수,1.5,2022,2024,-4.039563920177329,-5.574903430782797
a3_load,A3 전시즌 경기당 대비 등판 투구수,2.0,2022,2024,-5.575085396636382,-7.494743496660931
a3b_gp,A3b 등판 내 투구수,0.0,2022,2024,0.0,0.0
a3b_gp,A3b 등판 내 투구수,0.5,2022,2024,-2.0989451919750763,-2.0541109802984465
a3b_gp,A3b 등판 내 투구수,1.0,2022,2024,-5.4570730932846345,-5.380522125164589
a3b_gp,A3b 등판 내 투구수,1.5,2022,2024,-10.074383703873082,-9.97923343466482
a3b_gp,A3b 등판 내 투구수,2.0,2022,2024,-13.577607839487882,-13.478231421704095
a4_prevp,A4 전시즌 투구수,0.0,2022,2024,0.0,0.0
a4_prevp,A4 전시즌 투구수,0.5,2022,2024,1.094396196166258,0.04540248873536257
a4_prevp,A4 전시즌 투구수,1.0,2022,2024,-1.1316918956395057,-3.2123350005352904
a4_prevp,A4 전시즌 투구수,1.5,2022,2024,-3.907133484482074,-6.808620688869496
a4_prevp,A4 전시즌 투구수,2.0,2022,2024,-3.8959067697575165,-6.921167655660156
a5_asofn,A5 투수 누적 이력,0.0,2022,2024,0.0,0.0
a5_asofn,A5 투수 누적 이력,0.5,2022,2024,-2.0324857208820504,-3.528573902855669
a5_asofn,A5 투수 누적 이력,1.0,2022,2024,-5.736949447854386,-8.67058660203304
a5_asofn,A5 투수 누적 이력,1.5,2022,2024,-10.821401669747274,-14.44975495670235
a5_asofn,A5 투수 누적 이력,2.0,2022,2024,-14.171613174751656,-18.03590505128352
a6_psucc,A6 투수 수준 5분위,0.0,2022,2024,0.0,0.0
a6_psucc,A6 투수 수준 5분위,0.5,2022,2024,2.1964406761276223,2.690749601375046
a6_psucc,A6 투수 수준 5분위,1.0,2022,2024,3.057544798845697,3.9857557567746653
a6_psucc,A6 투수 수준 5분위,1.5,2022,2024,2.9794133094562767,4.283005447025516
a6_psucc,A6 투수 수준 5분위,2.0,2022,2024,5.085418850214751,6.735383844014336
a7_inning,A7 이닝,0.0,2022,2024,0.0,0.0
a7_inning,A7 이닝,0.5,2022,2024,-0.3079178685139823,-0.1251463907614152
a7_inning,A7 이닝,1.0,2022,2024,-0.9999807329742225,-0.6428871244468155
a7_inning,A7 이닝,1.5,2022,2024,-1.1546232020376692,-0.6996648534873202
a7_inning,A7 이닝,2.0,2022,2024,-0.26464561352361216,0.19244209493729159
a8_hand,A8 손 매치업,0.0,2022,2024,0.0,0.0
a8_hand,A8 손 매치업,0.5,2022,2024,-3.1146241450286425,-2.6225648817822957
a8_hand,A8 손 매치업,1.0,2022,2024,-7.586607346665801,-6.637282180554848
a8_hand,A8 손 매치업,1.5,2022,2024,-13.204084908646792,-11.870456867946132
a8_hand,A8 손 매치업,2.0,2022,2024,-18.939388589611667,-17.430395210327106
a9_batn,A9 타자 누적 이력,0.0,2022,2024,0.0,0.0
a9_batn,A9 타자 누적 이력,0.5,2022,2024,-0.658333168801505,-1.8858116377361966
a9_batn,A9 타자 누적 이력,1.0,2022,2024,-3.1500925702698623,-4.949694103240063
a9_batn,A9 타자 누적 이력,1.5,2022,2024,-7.4379309201178785,-8.931109898946374
a9_batn,A9 타자 누적 이력,2.0,2022,2024,-10.644361018108384,-12.346119865747028
a10_base,A10 주자 상황,0.0,2022,2024,0.0,0.0
a10_base,A10 주자 상황,0.5,2022,2024,0.760478418759817,1.4511297315223146
a10_base,A10 주자 상황,1.0,2022,2024,0.2626699829311292,1.6304637582620671
a10_base,A10 주자 상황,1.5,2022,2024,-1.462639798510736,0.4793381413237512
a10_base,A10 주자 상황,2.0,2022,2024,-4.112332051986527,-1.9481505848406186
a11_typemo,A11 game_type x 월블록,0.0,2022,2024,0.0,0.0
a11_typemo,A11 game_type x 월블록,0.5,2022,2024,-1.1932204993070172,-0.7287388917975477
a11_typemo,A11 game_type x 월블록,1.0,2022,2024,-3.979434863832239,-2.8636016363935823
a11_typemo,A11 game_type x 월블록,1.5,2022,2024,-6.756634603088969,-6.404588233788218
a11_typemo,A11 game_type x 월블록,2.0,2022,2024,-10.051868526317435,-10.724294430153236
a12_role,A12 투수 역할(전시즌),0.0,2022,2024,0.0,0.0
a12_role,A12 투수 역할(전시즌),0.5,2022,2024,0.6575520705931694,0.5316263986587728
a12_role,A12 투수 역할(전시즌),1.0,2022,2024,1.0758026938839294,0.8258819620632494
a12_role,A12 투수 역할(전시즌),1.5,2022,2024,1.2547518698390832,0.8827666903022191
a12_role,A12 투수 역할(전시즌),2.0,2022,2024,1.1943995985363927,0.7022805833090615
a13_tens,A13 이닝 x 점수차,0.0,2022,2024,0.0,0.0
a13_tens,A13 이닝 x 점수차,0.5,2022,2024,-0.5744621533798409,-0.035524724972788135
a13_tens,A13 이닝 x 점수차,1.0,2022,2024,-2.5252948812837985,-1.4726696253242153
a13_tens,A13 이닝 x 점수차,1.5,2022,2024,-5.788200698264632,-4.2798228504392455
a13_tens,A13 이닝 x 점수차,2.0,2022,2024,-7.533909038648403,-5.937346433904054
a1_count,A1 볼카운트,0.0,2024,2022,0.0,0.0
a1_count,A1 볼카운트,0.5,2024,2022,-2.7871171816350397,-2.4988933202906765
a1_count,A1 볼카운트,1.0,2024,2022,-5.853432387603789,-5.215773670808062
a1_count,A1 볼카운트,1.5,2024,2022,-8.264567138993698,-7.109443996855475
a1_count,A1 볼카운트,2.0,2024,2022,-10.580848900676756,-8.806300779229332
a1b_phase,A1b 카운트 국면,0.0,2024,2022,0.0,0.0
a1b_phase,A1b 카운트 국면,0.5,2024,2022,-2.6234643029310973,-2.3418578205424865
a1b_phase,A1b 카운트 국면,1.0,2024,2022,-6.326575536819291,-5.722460673263072
a1b_phase,A1b 카운트 국면,1.5,2024,2022,-8.331133029460034,-7.113426768679005
a1b_phase,A1b 카운트 국면,2.0,2024,2022,-10.665363022766087,-8.806842627095875
a2_li,A2 경기 중요도 li,0.0,2024,2022,0.0,0.0
a2_li,A2 경기 중요도 li,0.5,2024,2022,0.3822638030001144,0.26773533259313353
a2_li,A2 경기 중요도 li,1.0,2024,2022,0.6328082486570565,0.4094226591645338
a2_li,A2 경기 중요도 li,1.5,2024,2022,0.7516333369262611,0.42506197969203185
a2_li,A2 경기 중요도 li,2.0,2024,2022,0.7387390677627081,0.31465329413117615
a3_load,A3 전시즌 경기당 대비 등판 투구수,0.0,2024,2022,0.0,0.0
a3_load,A3 전시즌 경기당 대비 등판 투구수,0.5,2024,2022,-0.7703996570021445,-0.8523736400588859
a3_load,A3 전시즌 경기당 대비 등판 투구수,1.0,2024,2022,-1.6788426948855886,-1.7891277496961493
a3_load,A3 전시즌 경기당 대비 등판 투구수,1.5,2024,2022,-2.3824716392950904,-2.468724974646875
a3_load,A3 전시즌 경기당 대비 등판 투구수,2.0,2024,2022,-3.301672600308848,-3.36001836890307
a3b_gp,A3b 등판 내 투구수,0.0,2024,2022,0.0,0.0
a3b_gp,A3b 등판 내 투구수,0.5,2024,2022,-0.4848465634645436,-0.1858045932889354
a3b_gp,A3b 등판 내 투구수,1.0,2024,2022,-1.0840218136800104,-0.4811889436683714
a3b_gp,A3b 등판 내 투구수,1.5,2024,2022,-1.7975257507573588,-0.8861530512160698
a3b_gp,A3b 등판 내 투구수,2.0,2024,2022,-2.625358374597454,-1.400696915876324
a4_prevp,A4 전시즌 투구수,0.0,2024,2022,0.0,0.0
a4_prevp,A4 전시즌 투구수,0.5,2024,2022,0.8302511516731101,0.650839732752047
a4_prevp,A4 전시즌 투구수,1.0,2024,2022,1.3621385039573397,1.0087184468155783
a4_prevp,A4 전시즌 투구수,1.5,2024,2022,1.5956620569413644,1.0736361422126492
a4_prevp,A4 전시즌 투구수,2.0,2024,2022,1.5280209593956897,0.8460757082384589
a5_asofn,A5 투수 누적 이력,0.0,2024,2022,0.0,0.0
a5_asofn,A5 투수 누적 이력,0.5,2024,2022,-0.05745996475297943,-0.021994665289071236
a5_asofn,A5 투수 누적 이력,1.0,2024,2022,-0.16228169666965186,-0.08967769493654032
a5_asofn,A5 투수 누적 이력,1.5,2024,2022,-0.3144651957386486,-0.20304908886487283
a5_asofn,A5 투수 누적 이력,2.0,2024,2022,-0.5140104619604244,-0.3621088471627445
a6_psucc,A6 투수 수준 5분위,0.0,2024,2022,0.0,0.0
a6_psucc,A6 투수 수준 5분위,0.5,2024,2022,0.3611555108304856,0.21064872466342877
a6_psucc,A6 투수 수준 5분위,1.0,2024,2022,0.5002788638239508,0.2202973939270123
a6_psucc,A6 투수 수준 5분위,1.5,2024,2022,0.4173700589803957,0.028946007779609317
a6_psucc,A6 투수 수준 5분위,2.0,2024,2022,0.11242909636621334,-0.36340543371204603
a7_inning,A7 이닝,0.0,2024,2022,0.0,0.0
a7_inning,A7 이닝,0.5,2024,2022,-0.0008132772122735332,0.011741685768129173
