axis,axis_title,lam,fit,eval,scope,n_bins,bss,delta,bss_self,best_solo,best_solo_name,vs_solo,w
(전역),(전역 가중 하나),0.0,2022,2024,all,1,870.4803172096431,0.0,916.9057918938739,820.9547937182093,cw_v17_base,49.52552349143377,0.036 0.326 0.620 0.018
a1_count,A1 볼카운트,0.0,2022,2024,all,12,870.4803172096431,0.0,870.4803172096431,820.9547937182093,cw_v17_base,49.52552349143377,
a1_count,A1 볼카운트,0.25,2022,2024,all,12,869.9150482367801,-0.5652689728630094,890.7680291394771,820.9547937182093,cw_v17_base,48.960254518570764,
a1_count,A1 볼카운트,0.5,2022,2024,all,12,868.5744190702782,-1.905898139364922,906.6816595942217,820.9547937182093,cw_v17_base,47.61962535206885,
a1_count,A1 볼카운트,0.75,2022,2024,all,12,866.4584297100375,-4.021887499605555,918.2212085739217,820.9547937182093,cw_v17_base,45.50363599182822,
a1_count,A1 볼카운트,1.0,2022,2024,all,12,863.5670801561357,-6.913237053507373,925.3866760785434,820.9547937182093,cw_v17_base,42.6122864379264,
a1b_phase,A1b 카운트 국면,0.0,2022,2024,all,7,870.4803172096431,0.0,870.4803172096431,820.9547937182093,cw_v17_base,49.52552349143377,
a1b_phase,A1b 카운트 국면,0.25,2022,2024,all,7,869.4788811028698,-1.0014361067733262,890.8697507652774,820.9547937182093,cw_v17_base,48.52408738466045,
a1b_phase,A1b 카운트 국면,0.5,2022,2024,all,7,867.7308918241256,-2.7494253855174975,906.7839082884443,820.9547937182093,cw_v17_base,46.776098105916276,
a1b_phase,A1b 카운트 국면,0.75,2022,2024,all,7,865.2363493732995,-5.243967836343586,918.2227897791884,820.9547937182093,cw_v17_base,44.28155565509019,
a1b_phase,A1b 카운트 국면,1.0,2022,2024,all,7,861.9952537504805,-8.485063459162575,925.1863952375538,820.9547937182093,cw_v17_base,41.0404600322712,
a2_li,A2 경기 중요도 li,0.0,2022,2024,all,6,870.4803172096431,0.0,870.4803172096431,820.9547937182093,cw_v17_base,49.52552349143377,
a2_li,A2 경기 중요도 li,0.25,2022,2024,all,6,872.1046298029833,1.6243125933401643,890.4801109486659,820.9547937182093,cw_v17_base,51.14983608477394,
a2_li,A2 경기 중요도 li,0.5,2022,2024,all,6,872.5057027387351,2.0253855290919773,905.3628118046331,820.9547937182093,cw_v17_base,51.55090902052575,
a2_li,A2 경기 중요도 li,0.75,2022,2024,all,6,871.6835360169096,1.2032188072664667,915.1284197775001,820.9547937182093,cw_v17_base,50.72874229870024,
a2_li,A2 경기 중요도 li,1.0,2022,2024,all,6,869.6381296374511,-0.8421875721919605,919.7769348673223,820.9547937182093,cw_v17_base,48.68333591924181,
a3_load,A3 전시즌 경기당 대비 등판 투구수,0.0,2022,2024,all,8,870.4803172096431,0.0,870.4803172096431,820.9547937182093,cw_v17_base,49.52552349143377,
a3_load,A3 전시즌 경기당 대비 등판 투구수,0.25,2022,2024,all,8,870.1346242800167,-0.34569292962635245,890.1975838143117,820.9547937182093,cw_v17_base,49.17983056180742,
a3_load,A3 전시즌 경기당 대비 등판 투구수,0.5,2022,2024,all,8,869.5999807916799,-0.8803364179632354,904.8838747501509,820.9547937182093,cw_v17_base,48.64518707347054,
a3_load,A3 전시즌 경기당 대비 등판 투구수,0.75,2022,2024,all,8,868.8763867445881,-1.6039304650549866,914.5391900171273,820.9547937182093,cw_v17_base,47.92159302637879,
a3_load,A3 전시즌 경기당 대비 등판 투구수,1.0,2022,2024,all,8,867.963842138797,-2.516475070846127,919.1635296152523,820.9547937182093,cw_v17_base,47.009048420587646,
a3b_gp,A3b 등판 내 투구수,0.0,2022,2024,all,6,870.4803172096431,0.0,870.4803172096431,820.9547937182093,cw_v17_base,49.52552349143377,
a3b_gp,A3b 등판 내 투구수,0.25,2022,2024,all,6,870.9647895636774,0.48447235403432387,890.6450629691642,820.9547937182093,cw_v17_base,50.0099958454681,
a3b_gp,A3b 등판 내 투구수,0.5,2022,2024,all,6,871.1280881739225,0.6477709642794025,905.6501323769006,820.9547937182093,cw_v17_base,50.173294455713176,
a3b_gp,A3b 등판 내 투구수,0.75,2022,2024,all,6,870.9702130403008,0.4898958306577015,915.4955254328523,820.9547937182093,cw_v17_base,50.015419322091475,
a3b_gp,A3b 등판 내 투구수,1.0,2022,2024,all,6,870.4911641629453,0.010846953302234397,920.1812421370747,820.9547937182093,cw_v17_base,49.53637044473601,
