fit,eval,lam,all,d_all,R,d_R
2022,2024,0.0,862.4755517075533,0.0,881.8237866645817,0.0
2022,2024,0.25,861.2670605868456,-1.2084911207077766,881.0538378737132,-0.7699487908685114
2022,2024,0.5,859.6281498354896,-2.847401872063756,879.8445336103966,-1.979253054185051
2022,2024,0.75,857.5588194534745,-4.916732254078852,878.1958738746654,-3.6279127899163086
2022,2024,1.0,855.0590694409221,-7.416482266631192,876.1078586665416,-5.715927998040115
2024,2022,0.0,2501.098240673272,0.0,758.734266705463,0.0
2024,2022,0.25,2499.571377360432,-1.5268633128398506,757.9174147503087,-0.8168519551543341
2024,2022,0.5,2496.822165739665,-4.276074933607106,755.8811658977427,-2.8531008077203523
2024,2022,0.75,2492.8506058109588,-8.247634862313134,752.6255201477761,-6.1087465576869135
2024,2022,1.0,2487.656697574314,-13.441543098957936,748.1504775004199,-10.583789205043104
