season,scope,bin,n,auc_base,auc_cand,bss_base,bss_cand,d_auc,d_bss
2024,all,0-2,16155,0.5294911938901715,0.5311126438295604,221.79170633166433,271.37866801145714,0.0016214499393888415,49.58696167979281
2024,all,1-2,24399,0.5457220785134814,0.5465854183658386,640.5712790489848,659.2118314726503,0.0008633398523572033,18.64055242366544
2024,all,2스트라이크,61194,0.5426039971455541,0.5436010162134652,569.6025702992657,598.1445934206575,0.0009970190679111646,28.54202312139182
2024,all,(전체),253507,0.5524845237608214,0.5527663541290717,879.6372337078973,886.8019821953732,0.00028183036825035757,7.16474848747589
2024,R,0-2,14321,0.5303245188603166,0.5320442501423063,233.77962068150683,283.11120177805236,0.001719731281989656,49.331581096545534
2024,R,1-2,21751,0.5477183193165907,0.548501493239438,690.2396021085,704.6467844046612,0.0007831739228473245,14.407182296161182
2024,R,2스트라이크,54456,0.5441044976738051,0.5450800976016215,606.2362122466802,633.4813172821141,0.000975599927816373,27.24510503543388
2024,R,(전체),223497,0.5532990348484373,0.5536067011823512,901.967977348217,909.6515569247176,0.00030766633391388076,7.68357957650062
2022,all,0-2,15595,0.5642725015739457,0.5641664540663102,1682.713374351985,1691.7692109312377,-0.00010604750763554271,9.055836579252627
2022,all,1-2,23740,0.5647745778184791,0.564700766075378,1591.7701131511253,1591.3829370547749,-7.381174310105987e-05,-0.38717609635045847
2022,all,2스트라이크,59575,0.5705729287436818,0.5703958439246584,1942.5970570084883,1940.552199778367,-0.0001770848190234542,-2.0448572301213517
2022,all,(전체),247472,0.5822327892941264,0.5822786884215705,2469.155246331456,2472.4470980471815,4.589912744412672e-05,3.2918517157254428
2022,R,0-2,13808,0.5321619465366062,0.5319902384993064,251.02485951122856,255.33484271198503,-0.00017170803729982254,4.309983200756477
2022,R,1-2,21152,0.537260992203213,0.5371717203517105,387.4710143546234,388.75947325408555,-8.927185150253703e-05,1.2884588994621708
2022,R,2스트라이크,52814,0.539425093464575,0.5391880419635218,463.3743276301394,458.8888366634625,-0.00023705150105324257,-4.4854909666769345
2022,R,(전체),217024,0.5486010176400465,0.5486548809449329,733.9143024031936,736.4907128947218,5.3863304886325736e-05,2.576410491528236
