season,scope,bin,n,auc_base,auc_cand,bss_base,bss_cand,d_auc,d_bss
2024,all,0-2,16155,0.5294911938901715,0.5309381549178845,221.79170633166433,260.6424241091032,0.001446961027713023,38.85071777743889
2024,all,1-2,24399,0.5457220785134814,0.5468524871819533,640.5712790489848,668.4044124161237,0.0011304086684719161,27.833133367138885
2024,all,2스트라이크,61194,0.5426039971455541,0.5436508512220084,569.6025702992657,598.4230533879087,0.0010468540764543288,28.82048308864296
2024,all,(전체),253507,0.5524845237608214,0.5527689208658864,879.6372337078973,885.894285544031,0.00028439710506500404,6.257051836133769
2024,R,0-2,14321,0.5303245188603166,0.5319857572743981,233.77962068150683,275.4674742817653,0.0016612384140815006,41.68785360025848
2024,R,1-2,21751,0.5477183193165907,0.5487687570158749,690.2396021085,712.7717014228541,0.0010504376992842568,22.532099314354127
2024,R,2스트라이크,54456,0.5441044976738051,0.5452305052940217,606.2362122466802,635.0156696689369,0.0011260076202166402,28.779457422256655
2024,R,(전체),223497,0.5532990348484373,0.5536553065628185,901.967977348217,909.7568891146435,0.0003562717143811289,7.788911766426509
2022,all,0-2,15595,0.5642725015739457,0.5641509477801342,1682.713374351985,1685.3741325390747,-0.00012155379381151299,2.660758187089641
2022,all,1-2,23740,0.5647745778184791,0.564795169902533,1591.7701131511253,1589.9482038245317,2.0592084053916437e-05,-1.8219093265936408
2022,all,2스트라이크,59575,0.5705729287436818,0.5705625842213139,1942.5970570084883,1940.99032987598,-1.034452236792216e-05,-1.6067271325082402
2022,all,(전체),247472,0.5822327892941264,0.5822125971172482,2469.155246331456,2468.3052085344048,-2.0192176878208734e-05,-0.8500377970513
2022,R,0-2,13808,0.5321619465366062,0.5320213093775813,251.02485951122856,253.51975357706945,-0.00014063715902490337,2.494894065840896
2022,R,1-2,21152,0.537260992203213,0.5373401397511639,387.4710143546234,393.1176362630295,7.91475479509085e-05,5.646621908406132
2022,R,2스트라이크,52814,0.539425093464575,0.5394363171286527,463.3743276301394,463.9607856704031,1.122366407768638e-05,0.5864580402636648
2022,R,(전체),217024,0.5486010176400465,0.548584172691879,733.9143024031936,733.7818518518335,-1.6844948167560325e-05,-0.13245055136007977
