model,season,scope,subset,n,share,rate,pred_mean,bias,auc,brier,bss_local,deficit,shift_gain_self
sj_stdmlp,2022,all,False,247472,1.0,0.5289204435249241,0.5118103592335401,-0.017110084291383942,0.5824970979887863,0.2433005444345007,2353.097854115227,97646.90214588477,117.49508159367035
sj_grid_w060,2022,all,False,247472,1.0,0.5289204435249241,0.527164529063888,-0.0017559144610360677,0.5824331536596775,0.24295904174509095,2490.157472180843,97509.84252781916,1.2374341581776331
sj_e2var,2022,all,False,247472,1.0,0.5289204435249241,0.5280452281823315,-0.0008752153425926057,0.5824240896580671,0.24297317449070996,2484.4853976208838,97515.51460237912,0.3074292840046349
sj3way_nv,2022,all,True,247303,1.0,0.5288532690666915,0.5288421976026388,-1.1071464052658797e-05,0.5756620898368023,0.24365972119303014,2210.4680254403265,97789.53197455966,4.919474720722477e-05
cw_v17_base,2022,all,False,247472,1.0,0.5289204435249241,0.5291792359227747,0.000258792397850649,0.5825840172103085,0.2429382137168552,2498.5166496736656,97501.48335032634,0.02687932870185319
hw_v12_honest,2022,all,False,247472,1.0,0.5289204435249241,0.5257734067110822,-0.0031470368138418747,0.5744599086791159,0.24366977652834856,2204.909241463815,97795.09075853619,3.9748343625725804
ye_hand,2022,all,False,247472,1.0,0.5289204435249241,0.5271348684330973,-0.0017855750918267521,0.5713070118303384,0.24458072092816244,1839.3083387789666,98160.69166122103,1.2795923268373037
sj_cb_ft_fonly,2022,all,False,247472,1.0,0.5289204435249241,0.52729789227987,-0.0016225512450540602,0.5824993970344479,0.24298057235711543,2481.5163177996146,97518.48368220037,1.0566039577471715
TEAM,2022,all,False,247472,1.0,0.5289204435249241,0.5148921291672379,-0.014028314357686145,0.582140085333732,0.24323287646603667,2380.2559005979274,97619.74409940207,78.98168008566455
sj_stdmlp,2022,R,False,217024,1.0,0.5036908360365674,0.48946977117575013,-0.014221064860817256,0.5489031252321261,0.24831631476532853,668.0615876720864,99331.93841232792,80.89988247060643
sj_grid_w060,2022,R,False,217024,1.0,0.5036908360365674,0.5019378550230005,-0.0017529810135669122,0.5487751305153249,0.24813471097233758,740.707063253787,99259.29293674622,1.2292439539457678
sj_e2var,2022,R,False,217024,1.0,0.5036908360365674,0.5042670090199693,0.0005761729834019569,0.5487611236762774,0.24814034773016033,738.4522372612889,99261.54776273872,0.1327973587271728
sj3way_nv,2022,R,True,216954,1.0,0.5036920268812743,0.5075256289345684,0.003833602053294083,0.5403108339118666,0.24875862717417352,491.12348347335467,99508.87651652665,5.878922425044091
cw_v17_base,2022,R,False,217024,1.0,0.5036908360365674,0.5044190757433205,0.0007282397067530644,0.548988569247709,0.24810159613902952,753.9537183750999,99246.0462816249,0.2121447877715787
hw_v12_honest,2022,R,False,217024,1.0,0.5036908360365674,0.5020475394544842,-0.0016432965820831757,0.5386263051426216,0.24883858303362272,459.14289656660003,99540.8571034334,1.0802283233248304
ye_hand,2022,R,False,217024,1.0,0.5036908360365674,0.5105641291825775,0.006873293146010151,0.5397828852918474,0.24893056806978375,422.3468771208383,99577.65312287917,18.897893197259346
sj_cb_ft_fonly,2022,R,False,217024,1.0,0.5036908360365674,0.5026827136995312,-0.001008122337036177,0.5489076996357055,0.2481277580177332,743.4883966478401,99256.51160335216,0.4065464109134763
TEAM,2022,R,False,217024,1.0,0.5036908360365674,0.49267123624502757,-0.011019599791539825,0.5484660864084081,0.24826391471755635,689.0227489354083,99310.9772510646,48.5752786486522
sj_stdmlp,2024,all,False,253507,1.0,0.4861049201797189,0.48335714595255347,-0.0027477742271654337,0.5537842939568345,0.2475187470431347,915.9792898301156,99084.02071016989,3.0224394901689546
sj_grid_w060,2024,all,False,253507,1.0,0.4861049201797189,0.48620050706970924,9.558688999034004e-05,0.5533758488375518,0.24755128559276243,902.953810492868,99097.04618950713,0.003657566127828397
sj_e2var,2024,all,False,253507,1.0,0.4861049201797189,0.49394814015397803,0.00784321997425913,0.5534130311875838,0.24761522860279378,877.3568381184372,99122.64316188157,24.625457893931603
sj3way_nv,2024,all,True,253035,1.0,0.4860710968838303,0.4915755879193635,0.005504491035533188,0.551064481212065,0.24774215179974865,826.174702257687,99173.82529774231,12.129181564828238
cw_v17_base,2024,all,False,253507,1.0,0.4861049201797189,0.49663592572689275,0.010531005547173844,0.5520756763129475,0.247756124816538,820.9547937182093,99179.0452062818,44.395117170862335
hw_v12_honest,2024,all,False,253507,1.0,0.4861049201797189,0.49385892776825785,0.007754007588538947,0.5486267722088264,0.24800685348369336,720.585812597252,99279.41418740276,24.06844136137863
ye_hand,2024,all,False,253507,1.0,0.4861049201797189,0.49957736866088664,0.013472448481167743,0.5456449674877749,0.2483712582282202,574.7112568922241,99425.28874310778,72.65886115897582
